country_name,country_code,eu_member,year,fuel_code,fuel_desc,generation_twh,share_of_generation_pct,yoy_abs_change,yoy_pct_change
Albania,ALB,0,1990,BIO,Bioenergy,0.0,0.0,,
Albania,ALB,0,1990,GAS,Gas,0.0,0.0,,
Albania,ALB,0,1990,HARDCOAL,Hard Coal,0.0,0.0,,
Albania,ALB,0,1990,HYDRO,Hydro,2.85,86.36,,
Albania,ALB,0,1990,LIGNITE,Lignite,0.0,0.0,,
Albania,ALB,0,1990,NUCLEAR,Nuclear,0.0,0.0,,
Albania,ALB,0,1990,OTHFOSS,Other Fossil,0.45,13.64,,
Albania,ALB,0,1990,OTHRENEW,Other Renewables,0.0,0.0,,
Albania,ALB,0,1990,SOLAR,Solar,0.0,0.0,,
Albania,ALB,0,1990,WIND,Wind,0.0,0.0,,
Albania,ALB,0,1991,BIO,Bioenergy,0.0,0.0,0.0,
Albania,ALB,0,1991,GAS,Gas,0.0,0.0,0.0,
Albania,ALB,0,1991,HARDCOAL,Hard Coal,0.0,0.0,0.0,
Albania,ALB,0,1991,HYDRO,Hydro,3.52,92.15,0.67,23.51
Albania,ALB,0,1991,LIGNITE,Lignite,0.0,0.0,0.0,
Albania,ALB,0,1991,NUCLEAR,Nuclear,0.0,0.0,0.0,
Albania,ALB,0,1991,OTHFOSS,Other Fossil,0.3,7.85,-0.15,-33.33
Albania,ALB,0,1991,OTHRENEW,Other Renewables,0.0,0.0,0.0,
Albania,ALB,0,1991,SOLAR,Solar,0.0,0.0,0.0,
Albania,ALB,0,1991,WIND,Wind,0.0,0.0,0.0,
Albania,ALB,0,1992,BIO,Bioenergy,0.0,0.0,0.0,
Albania,ALB,0,1992,GAS,Gas,0.0,0.0,0.0,
Albania,ALB,0,1992,HARDCOAL,Hard Coal,0.0,0.0,0.0,
Albania,ALB,0,1992,HYDRO,Hydro,3.23,95.0,-0.29,-8.24
Albania,ALB,0,1992,LIGNITE,Lignite,0.0,0.0,0.0,
Albania,ALB,0,1992,NUCLEAR,Nuclear,0.0,0.0,0.0,
Albania,ALB,0,1992,OTHFOSS,Other Fossil,0.17,5.0,-0.13,-43.33
Albania,ALB,0,1992,OTHRENEW,Other Renewables,0.0,0.0,0.0,
Albania,ALB,0,1992,SOLAR,Solar,0.0,0.0,0.0,
Albania,ALB,0,1992,WIND,Wind,0.0,0.0,0.0,
Albania,ALB,0,1993,BIO,Bioenergy,0.0,0.0,0.0,
Albania,ALB,0,1993,GAS,Gas,0.0,0.0,0.0,
Albania,ALB,0,1993,HARDCOAL,Hard Coal,0.0,0.0,0.0,
Albania,ALB,0,1993,HYDRO,Hydro,3.31,93.77,0.08,2.48
Albania,ALB,0,1993,LIGNITE,Lignite,0.0,0.0,0.0,
Albania,ALB,0,1993,NUCLEAR,Nuclear,0.0,0.0,0.0,
Albania,ALB,0,1993,OTHFOSS,Other Fossil,0.22,6.23,0.05,29.41
Albania,ALB,0,1993,OTHRENEW,Other Renewables,0.0,0.0,0.0,
Albania,ALB,0,1993,SOLAR,Solar,0.0,0.0,0.0,
Albania,ALB,0,1993,WIND,Wind,0.0,0.0,0.0,
Albania,ALB,0,1994,BIO,Bioenergy,0.0,0.0,0.0,
Albania,ALB,0,1994,GAS,Gas,0.0,0.0,0.0,
Albania,ALB,0,1994,HARDCOAL,Hard Coal,0.0,0.0,0.0,
Albania,ALB,0,1994,HYDRO,Hydro,3.77,95.69,0.46,13.9
Albania,ALB,0,1994,LIGNITE,Lignite,0.0,0.0,0.0,
Albania,ALB,0,1994,NUCLEAR,Nuclear,0.0,0.0,0.0,
Albania,ALB,0,1994,OTHFOSS,Other Fossil,0.17,4.31,-0.05,-22.73
Albania,ALB,0,1994,OTHRENEW,Other Renewables,0.0,0.0,0.0,
Albania,ALB,0,1994,SOLAR,Solar,0.0,0.0,0.0,
Albania,ALB,0,1994,WIND,Wind,0.0,0.0,0.0,
Albania,ALB,0,1995,BIO,Bioenergy,0.0,0.0,0.0,
