Entity,Year,Biofuels Consumption - Kboed - Biodiesel,Biofuels Consumption - Kboed - Total,Biofuels Consumption - PJ - Biodiesel,Biofuels Consumption - PJ - Total,Biofuels Consumption - TWh - Biodiesel,Biofuels Consumption - TWh - Total,Biofuels Production - Kboed - Biodiesel,Biofuels Production - Kboed - Total,Biofuels Production - PJ - Biodiesel,Biofuels Production - PJ - Total,Biofuels Production - TWh - Biodiesel,Biofuels Production - TWh - Total,Carbon Dioxide Emissions,Coal - Prices,Coal - Reserves - Anthracite and bituminous,Coal - Reserves - Sub-bituminous and lignite,Coal - Reserves - Total,Coal Consumption - EJ,Coal Consumption - TWh,Coal Production - EJ,Coal Production - TWh,Coal Production - Tonnes,Cobalt Production-Reserves,Elec Gen from Coal,Elec Gen from Gas,Elec Gen from Oil,Electricity Generation,Gas - Prices,Gas - Proved reserves,Gas Consumption - Bcf,Gas Consumption - Bcm,Gas Consumption - EJ,Gas Consumption - TWh,Gas Production - Bcf,Gas Production - Bcm,Gas Production - EJ,Gas Production - TWh,Geo Biomass Other - EJ,Geo Biomass Other - TWh,Geothermal Capacity,Graphite Production-Reserves,Hydro Consumption - EJ,Hydro Consumption - TWh,Hydro Generation - TWh,Lithium Production-Reserves,Nuclear Consumption - EJ,Nuclear Consumption - TWh,Nuclear Generation - TWh,Oil - Crude prices since 1861 (2020 $),Oil - Crude prices since 1861 (current $),Oil - Proved reserves,Oil - Refinery throughput,Oil - Refining capacity,Oil - Spot crude prices,Oil Consumption - Barrels,Oil Consumption - EJ,Oil Consumption - TWh,Oil Consumption - Tonnes,Oil Production - Barrels,Oil Production - Crude Conds,Oil Production - NGLs,Oil Production - TWh,Oil Production - Tonnes,Primary Energy - Cons capita,Primary Energy Consumption - EJ,Primary Energy Consumption - TWh,Rare Earth Production-Reserves,Renewables Consumption - EJ,Renewables Consumption - TWh,Renewables Power - EJ,Renewables power - TWh,Solar Capacity,Solar Consumption - EJ,Solar Consumption - TWh,Solar Generation - TWh,Total Liquids - Consumption,Wind Capacity,Wind Consumption - EJ,Wind Consumption - TWh,Wind Generation - TWh,Biofuels Consumption - TWh - Biodiesel (zero filled),Biofuels Consumption - TWh - Total (zero filled),Coal Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
Africa,1965,,,,,,,,,,,,,194.2798348,,,,,1.164586098,323.4961383333333,,,,,,,,,,,0.092338209,0.95437543,0.034357515,9.543754166666666,,,,,0,0,,,0.139056352,38.62676444444444,13.90563517,,0,0,0,,,,,822.9679452,,552.2319321,1.178399392,327.33316444444444,27.47204238,2232.302521,,,1235.100893267,106.1995609,7.870487047,2.516399357,698.9998213888889,,0,0,0,0,,0,0,0,552.2319321,,0,0,0,0,0,323.4961383333333,9.543754166666666,38.62676444444444,0,327.33316444444444,0,0,0
Africa,1966,,,,,,,,,,,,,202.595392,,,,,1.163239896,323.12219333333337,,,,,,,,,,,0.103234107,1.06699162,0.038411698,10.669916111111112,,,,,0,0,,,0.155100041,43.08334472222222,15.51000414,,0,0,0,,,,,940.6526027,,603.2373235,1.289277626,358.1326738888889,30.07347223,2842.279918,,,1571.826917462,135.1527874,8.071603613,2.646029263,735.008128611111,,0,0,0,0,,0,0,0,603.2373235,,0,0,0,0,0,323.12219333333337,10.669916111111112,43.08334472222222,0,358.1326738888889,0,0,0
Africa,1967,,,,,,,,,,,,,202.589515,,,,,1.189049705,330.2915847222222,,,,,,,,,,,0.10203199,1.05456696,0.037964411,10.545669722222224,,,,,0,0,,,0.161906364,44.97399,16.19063636,,0,0,0,,,,,903.9761644,,601.0775647,1.279013251,355.28145861111113,29.76416906,3133.462822,,,1729.137039816,148.6790232,7.936094274,2.66793373,741.0927027777778,,0,0,0,0,,0,0,0,601.0775647,,0,0,0,0,0,330.2915847222222,10.545669722222224,44.97399,0,355.28145861111113,0,0,0
Africa,1968,,,,,,,,,,,,,211.9618513,,,,,1.236646479,343.5129108333333,,,,,,,,,,,0.103135891,1.06889698,0.038480291,10.688969722222222,,,,,0,0,,,0.189383406,52.60650166666667,18.93834056,,0,0,0,,,,,943.0953425,,632.6189071,1.34946767,374.8521305555555,31.40620017,4006.778033,,,2216.125948323,190.5525321,8.160965806,2.813977846,781.6605127777777,,0,0,0,0,,0,0,0,632.6189071,,0,0,0,0,0,343.5129108333333,10.688969722222222,52.60650166666667,0,374.8521305555555,0,0,0
Africa,1969,,,,,,,,,,,,,214.0594933,,,,,1.247914518,346.64292166666667,,,,,,,,,,,0.120863221,1.24919998,0.044971199,12.491999722222223,,,,,0,0,,,0.221008896,61.39136,22.10088962,,0,0,0,,,,,892.9309589,,646.6680084,1.36790311,379.9730861111111,31.78087149,5087.143945,,,2818.294394718,242.3296986,8.146919187,2.881797723,800.4993675,,0,0,0,0,,0,0,0,646.6680084,,0,0,0,0,0,346.64292166666667,12.491999722222223,61.39136,0,379.9730861111111,0,0,0
Africa,1970,,,,,,,,,,,,,229.6899956,,,,,1.298724838,360.75689944444446,,,,,,,,,,,0.150163024,1.5520325,0.05587317,15.520325,0.291923215,3.01721625,0.108619785,30.1721625,0,0,,,0.276304298,76.75119388888889,27.63042982,,0,0,0,,,,,1015.582521,,712.3631369,1.511315641,419.8099002777777,35.15224013,6113.290986,,,3399.629209176,292.3154952,8.657473669,3.142217948,872.8383188888888,,0,0,0,0,,0,0,0,712.3631369,,0,0,0,0,0,360.75689944444446,15.520325,76.75119388888889,0,419.8099002777777,0,0,0
Africa,1971,,,,,,,,,,,,,252.6765793,,,,,1.378844347,383.0123186111111,,,,,,,,,,,0.178075527,1.84052637,0.066258949,18.40526361111111,0.358205832,3.702290199,0.133282447,37.02290194444444,0.00164,0.164,,,0.260133909,72.25941916666666,26.0133909,,0,0,0,,,,,1110.25074,,803.9755512,1.708049461,474.4581836111111,39.74065704,5694.157068,,,3181.029766032,273.5193264,9.168206834,3.414926667,948.5907408333334,,0.00164,0.4555555555555555,0.00164,0.164,,0,0,0,803.9755512,,0,0,0,0,0,383.0123186111111,18.40526361111111,72.25941916666666,0,474.4581836111111,0,0,0.164
Africa,1972,,,,,,,,,,,,,264.3634992,,,,,1.383158892,384.2108033333333,,,,,,,,,,,0.238042602,2.467065693,0.088814365,24.670656944444445,0.628474074,6.513484622,0.234485446,65.1348461111111,0.00165,0.165,,,0.296331964,82.31443444444444,29.63319642,,0,0,0,,,,,1185.558959,,870.7405879,1.851313238,514.2536772222222,43.05198866,5712.108607,,,3194.1734605410006,274.6494807,9.471774045,3.621268459,1005.9079052777778,,0.00165,0.4583333333333333,0.00165,0.165,,0,0,0,870.7405879,,0,0,0,0,0,384.2108033333333,24.670656944444445,82.31443444444444,0,514.2536772222222,0,0,0.165
Africa,1973,,,,,,,,,,,,,285.3403912,,,,,1.472077272,408.9103533333333,,,,,,,,,,,0.38267347,3.955179143,0.142386449,39.55179138888889,0.951291406,9.832215262,0.353959749,98.3221525,0.0017,0.17,,,0.313457076,87.07141,31.34570755,,0,0,0,,,,,1248.920055,,938.4418462,1.991190104,553.1083622222222,46.32706725,6000.221315,,,3346.9215269890005,287.7834503,9.988727381,3.920810901,1089.1141391666663,,0.0017,0.4722222222222222,0.0017,0.17,,0,0,0,938.4418462,,0,0,0,0,0,408.9103533333333,39.55179138888889,87.07141,0,553.1083622222222,0,0,0.17
Africa,1974,,,,,,,,,,,,,296.9820425,,,,,1.532326414,425.6462261111111,,,,,,,,,,,0.430727495,4.451848738,0.160266555,44.5184875,0.992728993,10.26049966,0.369377988,102.60499666666666,0.00175,0.175,,,0.356670743,99.07520638888889,35.66707429,,0,0,0,,,,,1349.531836,,971.4035953,2.060100493,572.2501369444445,47.94046267,5517.01463,,,3085.5672637810003,265.3110287,10.19822624,4.111114205,1141.9761680555555,,0.00175,0.4861111111111111,0.00175,0.175,,0,0,0,971.4035953,,0,0,0,0,0,425.6462261111111,44.5184875,99.07520638888889,0,572.2501369444445,0,0,0.175
