Entity,Year,Biofuels Production - Kboed - Total,Biofuels Production - Kboed - Biogasoline,Biofuels Production - Kboed - Biodiesel,Biofuels Production - PJ - Total,Biofuels Production - PJ - Biogasoline,Biofuels Production - PJ - Biodiesel,Carbon Dioxide Emissions,Coal - Prices,Coal - Reserves - Anthracite and bituminous,Coal - Reserves - Sub-bituminous and lignite,Coal - Reserves - Total,Coal Consumption - EJ,Coal Production - EJ,Coal Production - Tonnes,Electricity Generation ,Gas - Prices ,Gas - Proved reserves,Gas - Proved reserves history ,Gas Consumption - Bcf,Gas Consumption - Bcm,Gas Consumption - EJ,Gas Production - Bcf,Gas Production - Bcm,Gas Production - EJ,Geo Biomass Other - EJ,Geo Biomass Other - TWh,Geothermal Capacity,Hydro Consumption - EJ,Hydro Generation - TWh,Nuclear Consumption - EJ,Nuclear Generation - TWh,Oil - Proved reserves,Oil - Proved reserves history,Oil - Refinery throughput,Oil - Refining capacity,Oil - Spot crude prices,Oil Consumption - Barrels,Oil Consumption - Tonnes,Oil Production - Barrels,Oil Production - Tonnes,Primary Energy Consumption,Renewables Power - EJ,Renewables Power - Twh,Solar Capacity,Solar Consumption - EJ,Solar Generation - TWh,Wind Capacity,Wind Consumption - EJ,Wind Generation -TWh,Cobalt and Lithium - Prices - Cobalt,Cobalt and Lithium - Prices - Lithium Carbonate,Cobalt Production-Reserves - Production,Cobalt Production-Reserves - Reserves,Elec Gen by fuel - Oil,Elec Gen by fuel - Natural Gas,Elec Gen by fuel - Coal,Elec Gen by fuel - Nuclear energy,Elec Gen by fuel - Hydro electric,Elec Gen by fuel - Renewables,Elec Gen by fuel - Other #,Elec Gen by fuel - Total,Elec Gen from Coal,Elec Gen from Gas,Elec Gen from Oil,Elec Gen from Other,Graphite Production-Reserves,Lithium Production-Reserves,Oil - Crude prices since 1861,Oil Consumption - EJ,Primary Energy - Cons by fuel - Oil,Primary Energy - Cons by fuel - Natural Gas,Primary Energy - Cons by fuel - Coal,Primary Energy - Cons by fuel - Nuclear energy,Primary Energy - Cons by fuel - Hydro electric,Primary Energy - Cons by fuel - Renewables,Primary Energy - Cons by fuel - Total,Primary Energy - Cons capita,Rare Earth Production-Reserves,Renewables Generation by source - Wind,Renewables Generation by source - Solar,Renewables Generation by source - Other renewables+,Renewables Generation by source - Total,Biofuels Consumption - Kboed - Total,Biofuels Consumption - Kboed - Biogasoline,Biofuels Consumption - Kboed - Biodiesel,Biofuels Consumption - PJ - Total,Biofuels Consumption - PJ - Biogasoline,Biofuels Consumption - PJ - Biodiesel,Total Liquids - Consumption,Renewables Consumption - EJ
Africa,1965,,,,,,,193.9025126,,,,,1.164586098,,,,,,,0.092338209,0.95437543,0.034357515,,,,0,0,,0.139056352,13.90563517,0,0,,,,822.9679452,,549.6149182,27.35611288,2232.302521,106.1995609,2.51124132,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.173241355,,,,,,,,7.854354368,,,,,,,,,,,,549.6149182,0
Africa,1966,,,,,,,202.2209571,,,,,1.163239896,,,,,,,0.103234107,1.06699162,0.038411698,,,,0,0,,0.155100041,15.51000414,0,0,,,,940.6526027,,600.6287948,29.95846061,2842.279918,135.1527874,2.640905276,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.284153639,,,,,,,,8.055973101,,,,,,,,,,,,600.6287948,0
Africa,1967,,,,,,,202.2084475,,,,,1.189049705,,,,,,,0.10203199,1.05456696,0.037964411,,,,0,0,,0.161906364,16.19063636,0,0,,,,903.9761644,,598.4156862,29.64725511,3133.462822,148.6790232,2.662719414,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.273798935,,,,,,,,7.920583656,,,,,,,,,,,,598.4156862,0
Africa,1968,,,,,,,211.5778321,,,,,1.236646479,,,,,,,0.103135891,1.06889698,0.038480291,,,,0,0,,0.189383406,18.93834056,0,0,,,,943.0953425,,629.937285,31.28866627,4006.778033,190.5525321,2.808728743,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.344218567,,,,,,,,8.145742607,,,,,,,,,,,,629.937285,0
Africa,1969,,,,,,,213.6811014,,,,,1.247914518,,,,,,,0.120863221,1.24919998,0.044971199,,,,0,0,,0.221008896,22.10088962,0,0,,,,892.9309589,,644.006698,31.66521856,5087.143945,242.3296986,2.876624087,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.362729473,,,,,,,,8.132293177,,,,,,,,,,,,644.006698,0
Africa,1970,,,,,,,229.3200931,,,,,1.298724838,,,,,,,0.150163024,1.5520325,0.05587317,0.291923215,3.01721625,0.108619785,0,0,,0.276304298,27.63042982,0,0,,,,1015.582521,,709.7514769,35.03953862,6113.290986,292.3154952,3.137166173,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.506263866,,,,,,,,8.643554962,,,,,,,,,,,,709.7514769,0
Africa,1971,,,,,,,252.3029276,,,,,1.378844347,,,,,,,0.178075527,1.84052637,0.066258949,0.358205832,3.702290199,0.133282447,0.00164,0.164,,0.260133909,26.0133909,0,0,,,,1110.25074,,801.3286606,39.62693932,5694.157068,273.5193264,3.409822857,0.00164,0.164,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.702945651,,,,,,,,9.154504407,,,,,,,,,,,,801.3286606,0.00164
Africa,1972,,,,,,,263.9618388,,,,,1.383158892,,,,,,,0.238042602,2.467065693,0.088814365,0.628474074,6.513484622,0.234485446,0.00165,0.165,,0.296331964,29.63319642,0,0,,,,1185.558959,,867.9106182,42.92931369,5712.108607,274.6494807,3.615771901,0.00165,0.165,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.84581668,,,,,,,,9.457397274,,,,,,,,,,,,867.9106182,0.00165
Africa,1973,,,,,,,284.9030161,,,,,1.472077272,,,,,,,0.38267347,3.955179143,0.142386449,0.951291406,9.832215262,0.353959749,0.0017,0.17,,0.313457076,31.34570755,0,0,,,,1248.920055,,935.3586099,46.19284066,6000.221315,287.7834503,3.914808157,0.0017,0.17,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1.98518736,,,,,,,,9.973434684,,,,,,,,,,,,935.3586099,0.0017
Africa,1974,,,,,,,296.3927174,,,,,1.532326414,,,,,,,0.430727495,4.451848738,0.160266555,0.992728993,10.26049966,0.369377988,0.00175,0.175,,0.356670743,35.66707429,0,0,,,,1349.531836,,967.4241344,47.75944919,5517.01463,265.3110287,4.103118008,0.00175,0.175,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,2.052104297,,,,,,,,10.1783905,,,,,,,,,,,,967.4241344,0.00175
