Year,World,Africa,Asia and Oceania,Central and South America,Eurasia,Europe,Middle East,North America,EU28,OPEC,OECD,Persian Gulf,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burma,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Croatia,Cuba,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Malaysia,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,NZ,Oman,Pakistan,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Romania,Russian Federation & USSR,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Tajikistan,Thailand,Togo,Tunisia,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Yemen,Zambia,Zimbabwe
1910,1.845499572,0,0.108773064,0.008038656,0.399462588,0.13586166,0,1.193363604,0.13586166,0,1.284426504,0,0,0,0,0.000125604,,0,0.000083736,,0,0,,,,0,,0,0,0,0,,0,0.001758456,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.00586152,0,,0,0,,,0.000125604,,0.034248024,0.063764964,0,,0,0.000293076,0,,0.010760076,,,,,0,,,,0,,0,,,0.02177136,0,,0,,,,0,,,0,0,,0,0,,,0.007033824,0.073938888,,0,0.055558836,0.399462588,,,,,,,0,,0,0,,0,,0,0,,0,1.169833788,,,,,
1911,1.95481692,0.000125604,0.117690948,0.009964584,0.37911474,0.135359244,0.001842192,1.310719608,0.135359244,0.001842192,1.389766392,0.001842192,0,0,0,0.000083736,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.001632852,0,0,0,0,,0,,0,,0,0.000125604,,,,,,0,0,,0.005735916,0,,0,0,,,0.000083736,,0.03600648,0.069961428,0,,0,0.00041868,0,,0.01172304,,,,,0,,,,0,,0,,,0.078460632,0,,0,,,,0,,,0,0,,0,0,,,0.00816426,0.061043544,,0,0.0680355,0.37911474,,,,,,,0,,0,0,,0,,0,0,,0,1.230626124,,,,,
1912,1.986301656,0.001172304,0.113378544,0.01276974,0.38372022,0.133517052,0.003433176,1.33831062,0.133517052,0.003433176,1.402117452,0.003433176,0,0,0,0.000293076,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.001339776,0,0,0,0,,0,,0,,0,0.001172304,,,,,,0,0,,0.00565218,0,,0,0,,,0.000125604,,0.039732732,0.063597492,0,,0,0.000293076,0,,0.009797112,,,,,0,,,,0,,0.000251208,,,0.092444544,0,,0,,,,0,,,0,0,,0,0,,,0.009797112,0.047896992,,0,0.079507332,0.38372022,,,,,,,0,,0,0,,0,,0,0,,0,1.2445263,,,,,
1913,2.189989476,0.000544284,0.120412368,0.015407424,0.377272548,0.131800464,0.011639304,1.532913084,0.131800464,0.011639304,1.598771448,0.011639304,0,0,0,0.000795492,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.00125604,0,0,0,0,,0,,0,,0,0.000544284,,,,,,0.00230274,0,,0.005066028,0,,0,0,,,0.000083736,,0.044254476,0.063890568,0,,0,0.000293076,0,,0.011429964,,,,,0,,,,0,,0.00083736,,,0.144737676,0,,0,,,,0,,,0,0,,0,0,,,0.011555568,0.046640952,,0,0.077372064,0.377272548,,,,,,,0,,0,0,,0,,0,0,,0,1.386919368,,,,,
1914,2.255722236,0.0041868,0.124473564,0.016454124,0.37388124,0.11764908,0.015993576,1.603083852,0.117565344,0.016077312,1.660401144,0.015993576,0,0,0,0.00167472,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.001214172,0,0,0,0,,0,,0,,0,0.0041868,,,,,,0,0,,0.00460548,0,,0,0,,,0.000167472,,0.041323716,0.065690892,0,,0,0.000251208,0,,0.015533028,,,,,0,,,,0,,0.001925928,,,0.1182771,0,,0,,,,0,,,0,0,,0,0,,,0.010760076,0.036718236,,0,0.07578108,0.37388124,,,,,,,0,,0,0,,0,,0,0,,0,1.48359258,,,,,
1915,2.42122644,0.00125604,0.13230288,0.023069268,0.388158228,0.103162752,0.019133676,1.754143596,0.10299528,0.019343016,1.807902108,0.019133676,0,0,0,0.003098232,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.001214172,0,0,0,0,,0,,0,,0,0.00125604,,,,,,0,0,,0.004144932,0,,0,0,,,0.000293076,,0.045803592,0.066905064,0,,0,0.000251208,0,,0.017249616,,,,,0,,,,0,,0.002344608,,,0.183716784,0,,0,,,,0,,,0,0,,0,0,,,0.015198084,0.031777812,,0,0.066486384,0.388158228,,,,,,,0,,0,0,,0,,0,0,,0,1.56921264,,,,,
1916,2.597365116,0.002470212,0.14109516,0.02658618,0.413279028,0.079800408,0.027381672,1.906752456,0.079591068,0.02784222,1.966163148,0.027381672,0,0.000041868,0,0.005275368,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001088568,0,0,0,0,,0,,0,,0,0.002428344,,,,,,0,0,,0.003893724,0,,0,0,,,0.000251208,,0.047394576,0.07243164,0,,0,0.000293076,0,,0.017458956,,,,,0,,,,0,,0.003809988,,,0.226757088,0,,0,,,,0,,,0,0,,0,0,,,0.015239952,0.037513728,,0,0.037639332,0.413279028,,,,,,,0,,0,0,,0,,0,0,,0,1.6789068,,,,,
1917,2.871139968,0.005777784,0.140215932,0.032782644,0.366638076,0.068914728,0.038183616,2.218627188,0.068537916,0.039314052,2.273725476,0.038183616,0,0.000041868,0,0.007410636,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001214172,0,0,0,0,,0,,0,,0.000334944,0.005735916,,,,,,0,0,,0.003809988,0,,0,0,,,0.000376812,,0.045091836,0.074985588,0,,0,0.000251208,0,,0.016872804,,,,,0,,,,0,,0.003265704,,,0.345494736,0,,0,,,,0,,,0,0,,0,0,,,0.014528196,0.033787476,,0,0.030312432,0.366638076,,,,,,,0,,0,0,,0,,0,0,,0,1.87191828,,,,,
1918,2.850540912,0.011848644,0.135987264,0.03726252,0.15449292,0.07724646,0.047059632,2.386643472,0.076911516,0.049446108,2.437387488,0.047059632,0,0.000041868,0,0.008206128,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001716588,0,0,0,0,,0,,0,,0.000334944,0.011806776,,,,,,0.002177136,0,,0.001590984,0,,0,0,,,0,,0.044673156,0.073855152,0,,0,0.00020934,0,,0.014402592,,,,,0,,,,0,,0.003056364,,,0.397997208,0,,0,,,,0,,,0,0,,0,0,,,0.01402578,0.032363964,,0,0.040570092,0.15449292,,,,,,,0,,0,0,,0,,0,0,,0,1.986929676,,,,,
1919,3.246402852,0.0094203,0.1559583,0.036173952,0.185768316,0.07473438,0.058950144,2.72539746,0.074441304,0.061252884,2.777188176,0.058950144,0,0.000041868,0,0.008080524,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001339776,0,0,0,0,,0,,0,,0.000334944,0.009378432,,,,,,0.002009664,0,,0.001549116,0,,0,0,,,0,,0.048734352,0.09043488,0,,0,0.00020934,0,,0.01318842,,,,,0,,,,0,,0.003600648,,,0.542776752,0,,0,,,,0,,,0,0,,0,0,,,0.014611932,0.034834176,,0,0.035839008,0.185768316,,,,,,,0,,0,0,,0,,0,0,,0,2.181280932,,,,,
1920,4.15937646,0.006238332,0.16726266,0.041533056,0.1632852,0.082856772,0.074190096,3.624010344,0.082438092,0.0774558,3.673121508,0.074190096,0,0.000041868,0,0.010006452,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001088568,0,0,0,0,,0,,0,,0.000334944,0.006196464,,,,,,0.00230274,0,,0.00146538,0,,0,0,,,0,,0.04898556,0.09901782,0,,0,0.00020934,0,,0.013104684,,,,,0,,,,0,,0.006154596,,,1.02199788,0,,0,,,,0,,,0,0,,0,0,,,0.015616764,0.03202902,,0,0.046431612,0.1632852,,,,,,,0,,0,0,,0,,0,0,,0,2.600923896,,,,,
1921,4.503029004,0.007661844,0.172831104,0.057317292,0.1590984,0.08310798,0.09901782,3.923994564,0.082521828,0.108479988,3.970091232,0.09901782,0,0,0,0.012644136,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001130436,0,0,0.00041868,0,,0,,0,,0.000334944,0.007661844,,,,,,0.002344608,0,,0.001590984,0,,0,0,,,0,,0.053088624,0.098766612,0,,0,0.000167472,0,,0.012476664,,,,,0,,,,0,,0.008499204,,,1.213250904,0,,0,,,,0,,,0,0,,0,0,,,0.020473452,0.02951694,,0,0.048901824,0.1590984,,,,,,,0,,0,0,,0,,0,0,,0,2.709613224,,,,,
1922,5.026420872,0.007285032,0.18066042,0.07892118,0.1967796,0.09294696,0.125897076,4.343930604,0.092193336,0.140299668,4.390571556,0.125897076,0,0.000041868,0,0.018380052,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001088568,0,0,0.001925928,0,,0,,0,,0.000334944,0.007243164,,,,,,0.00293076,0,,0.001758456,0,,0,0,,,0,,0.051832584,0.099729576,0,,0,0.000167472,0,,0.01193238,,,,,0,,,,0,,0.01716588,,,1.143498816,0,,0,,,,0,,,0,0,,0,0,,,0.029349468,0.029851884,,0,0.057484764,0.1967796,,,,,,,0,,0,0,,0,,0,0,,0,3.19934322,,,,,
1923,5.944795452,0.006447672,0.203939028,0.100650672,0.2219004,0.099897048,0.158009832,5.1539508,0.0994365,0.185307768,5.200591752,0.158009832,0,0.000041868,0,0.020808396,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.0010467,0,0,0.002553948,0,,0,,0,,0.000502416,0.006405804,,,,,,0.00293076,0,,0.002135268,0,,0,0,,,0,,0.05107896,0.118612044,0,,0,0.00020934,0,,0.010508868,,,,,0,,,,0,,0.023739156,,,0.950571072,0,,0,,,,0,,,0,0,,0,0,,,0.031484736,0.030856716,,0,0.063304416,0.2219004,,,,,,,0,,0,0,,0,,0,0,,0,4.202333028,,,,,
1924,5.928006384,0.00690822,0.209423736,0.155916432,0.2553948,0.11639304,0.184344804,4.999625352,0.115932492,0.240866604,5.0482341,0.184344804,0,0.000083736,0,0.028344636,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.000962964,0,0,0.002679552,0,,0,,0,,0.000586152,0.006824484,,,,,,0.003098232,0,,0.002470212,0,,0,0,,,0,,0.051162696,0.122505768,0,,0,0.00020934,0,,0.010550736,,,,,0,,,,0,,0.025204536,,,0.894593556,0,,0,,,,0,,,0,0,,0,0,,,0.043793928,0.032280228,,0,0.07787448,0.2553948,,,,,,,0,,0,0,,0,,0,0,,0,4.104068832,,,,,
1925,6.215430204,0.007619976,0.215452728,0.24262506,0.2972628,0.13837374,0.193806972,5.120288928,0.137368908,0.315600984,5.171786568,0.193806972,0,0.000083736,0,0.037136916,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.002009664,0,0,0.006028992,0,,0,,0,,0.000962964,0.00753624,,,,,,0.00272142,0,,0.003307572,0,,0,0,,,0,,0.050283468,0.128367288,0,,0,0.000334944,0,,0.011136888,,,,,0,,,,0,,0.025665084,,,0.737965368,0,,0,,,,0,,,0,0,,0,0,,,0.05107896,0.033996816,,0,0.097008156,0.2972628,,,,,,,0,,0,0,,0,,0,0,,0,4.380313896,,,,,
1926,6.379175952,0.007285032,0.212773176,0.393182388,0.3475044,0.177059772,0.205530012,5.035841172,0.176138676,0.424876464,5.08654332,0.205530012,0,0.000041868,0,0.047980728,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.001967796,0,0.000083736,0.03851856,0,,0,,0,,0.00125604,0.007243164,,,,,,0.002805156,0,,0.00397746,0,,0,0,,,0,,0.0460548,0.126399492,0,,0,0.00020934,0,,0.010383264,,,,,0,,,,0,,0.029851884,,,0.576019944,0,,0,,,,0,,,0,0,,0,0,,,0.05840586,0.033326928,,0,0.135819792,0.3475044,,,,,,,0,,0,0,,0,,0,0,,0,4.457853432,,,,,
1927,7.283231676,0.007787448,0.2417877,0.600680196,0.4312404,0.19196478,0.229813452,5.5799577,0.191253024,0.598754268,5.627980296,0.229813452,0,0.000041868,0,0.052628076,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.002553948,0,0.000125604,0.089764992,0,,0,,0,,0.003181968,0.00774558,,,,,,0.003056364,0,,0.004061196,0,,0,0,,,0,,0.046808424,0.154660392,0.00188406,,0,0.000251208,0,,0.010383264,,,,,0,,,,0,,0.029810016,,,0.407291904,0,,0,,,,0,,,0,0,,0,0,,,0.058029048,0.030270564,,0,0.153613692,0.4312404,,,,,,,0,,0,0,,0,,0,0,,0,5.170111848,,,,,
1928,7.648529976,0.011262492,0.273146832,0.93637782,0.4856688,0.218174148,0.245220876,5.478679008,0.217587996,0.893086308,5.527915776,0.245220876,0,0.000041868,0,0.055182024,,0,0,,0,0,,,,0.000041868,,0,0,0,0.043082172,,0,0.00334944,0,0.000125604,0.118946988,0,,0,,0,,0.006447672,0.011220624,,,,,,0.003098232,0,,0.003851856,0,,0,0,,,0,,0.007201296,0.180367344,0.003935592,,0,0.000251208,0,,0.010927548,,,,,0,,,,0,,0.031442868,,,0.300779712,0,,0,,,,0,,,0,0,,0,0,,,0.066653856,0.031107924,,0,0.179278776,0.4856688,,,,,,,0,,0,0,,0,,0,0,,0,5.174549856,,,,,
1929,8.574231456,0.0115137,0.313256376,1.143247608,0.5735916,0.23906628,0.23739156,6.056164332,0.238480128,1.076342544,6.103768248,0.23739156,0,0.000125604,0,0.057024216,,0,0,,0,0,,,,0.000125604,,0,0,0,0.041616792,,0,0.006028992,0,0.000167472,0.121877748,0,,0,,0,,0.008206128,0.011388096,,,,,,0.0031401,0,,0.004312404,0,,0,0,,,0,,0.008666676,0.219346452,0.005066028,,0,0.000251208,0,,0.011639304,,,,,0,,,,0,,0.03181968,,,0.267997068,0,,0,,,,0,,,0,0,,0,0,,,0.074399436,0.0282609,,0,0.202515516,0.5735916,,,,,,,0,,0,0,,0,,0,0,,0,5.782138272,,,,,
1930,8.176443588,0.012016116,0.304882776,1.14529914,0.774558,0.282022848,0.257739408,5.3999253,0.281059884,1.107366732,5.450292504,0.257739408,0,0.000083736,0,0.05463774,,0,0,,0,0,,,,0.000167472,,0,0,0,0.042119208,,0,0.008206128,0,0.0020934,0.116476776,0,,0,,0,,0.009252828,0.01193238,,,,,,0.003181968,0,,0.007285032,0,,0,0,,,0,,0.008959752,0.210637908,0.005066028,,0,0.000334944,0,,0.011806776,,,,,0,,,,0,,0.029265732,,,0.237056616,0,,0,,,,0,,,0,0,,0,0,,,0.069333408,0.027758484,,0,0.242499456,0.774558,,,,,,,0,,0,0,,0,,0,0,,0,5.154662556,,,,,
1931,7.911042336,0.01214172,0.278966484,1.017224928,0.9378432,0.323472168,0.249658884,5.091734952,0.322634808,0.98012988,5.142981384,0.249658884,0,0.000041868,0,0.069165936,,0,0,,0,0,,,,0.000083736,,0,0.000167472,0,0.040067676,,0,0.008289864,0,0.002553948,0.104000112,0,,0,,0,,0.010467,0.012099852,,,,,,0.003098232,0,,0.009587772,0,,0,0,,,0,,0.01004832,0.192509064,0.00502416,,0,0.000669888,0,,0.011429964,,,,,0,,,,0,,0.022148172,,,0.198161244,0,,0,,,,0,,,0,0,,0,0,,,0.05610312,0.026418708,,0,0.282860208,0.9378432,,,,,,,0,,0,0,,0,,0,0,,0,4.885283844,,,,,
1932,7.550558856,0.011388096,0.297095328,1.011907692,0.8959752,0.345662208,0.279301428,4.709228904,0.344866716,1.00420398,4.755953592,0.279301428,0,0.000041868,0,0.0785025,,0,0,,0,0,,,,0.00020934,,0,0.007494372,0,0.040653828,,0,0.005610312,0,0.00293076,0.093658716,0,,0,,0,,0.009504036,0.011346228,,,,,,0.0031401,0,,0.00962964,0,,0,0,,,0,,0.010006452,0.212228892,0.005107896,,0,0.001130436,0,,0.009462168,,,,,0,,,,0,,0.014276988,,,0.196737732,0,,0,,,,0,,,0,0,,0,0,,,0.054972684,0.023320476,,0,0.307646064,0.8959752,,,,,,,0,,0,0,,0,,0,0,,0,4.50688086,,,,,
1933,8.244981504,0.01004832,0.319745916,1.020909312,0.900162,0.34729506,0.306431892,5.340389004,0.346415832,1.03979178,5.386443804,0.306431892,0.000083736,0.000041868,0,0.081684468,,0,0.000041868,,0.000167472,0,,,,0.000586152,,0,0.01193238,0,0.040905036,,0,0.006154596,0,0.003642516,0.075027456,0,,0,,0,,0.00962964,0.009964584,,,,,,0.003307572,0,,0.010006452,0,,0,0,,,0,,0.009378432,0.23173938,0.00481482,,0,0.001130436,0,,0.008457336,,,,,0,,,,0,,0.013648968,,,0.20389716,0,,0.000041868,,,,0,,,0,0,,0,0,,,0.073771416,0.023069268,,0,0.308860236,0.900162,,,,,,,0,,0,0,,0,,0,0,,0,5.130337248,,,,,
1934,8.70079842,0.009294696,0.3485511,1.189595484,1.0132056,0.395401392,0.361362708,5.38338744,0.39418722,1.211199372,5.433796512,0.361362708,0.000083736,0,0,0.083652264,,0,0.000167472,,0.001632852,0,,,,0.00083736,,0,0.015826104,0,0.041826132,,0,0.007578108,0,0.003851856,0.098892216,0,,0,,0,,0.009713376,0.009252828,,,,,,0.003265704,0,,0.013314024,0,,0,0,,,0,,0.011053152,0.25351074,0.039104712,,0,0.00083736,0,,0.010634472,,,,,0,,,,0,,0.011806776,,,0.228934224,0,,0.000041868,,,,0,,,0,0,,0,0,,,0.090518616,0.022148172,,0,0.354454488,1.0132056,,,,,,,0,,0,0,,0,,0,0,,0,5.146875108,,,,,
1935,9.459572184,0.007619976,0.356338548,1.28095146,1.0550736,0.395359524,0.474741252,5.889487824,0.394270956,1.398642408,5.946260832,0.474741252,0.000251208,0,0,0.085285116,,0,0.000293076,,0.007243164,0,,,,0.000879228,,0,0.018798732,0,0.041281848,,0,0.007787448,0,0.005903388,0.100566936,0,,0,,0,,0.01025766,0.007619976,,,,,,0.003181968,0,,0.017877636,0,,0,0,,,0,,0.01172304,0.254641176,0.148966344,,0,0.000669888,0,,0.013146552,,,,,0,,,,0,,0.010801944,,,0.243127476,0,,0,,,,0,,,0,0,,0,0,,,0.094328604,0.02156202,,0,0.350686368,1.0550736,,,,,,,0,,0,0,,0,,0,0,,0,5.6385729,,,,,
1936,10.30212382,0.007661844,0.37346256,1.348484544,1.1471832,0.410850684,0.538464348,6.476016636,0.408338604,1.484053128,6.53475744,0.538464348,0.001716588,0,0,0.092612016,,0,0.000334944,,0.02658618,0,,,,0.000544284,,0,0.019217412,0,0.042454152,,0,0.008080524,0,0.006950088,0.107851968,0,,0,,0,,0.011388096,0.007661844,,,,,,0.00293076,0,,0.01863126,0,,0,0,,,0,,0.011053152,0.269546184,0.163033992,,0,0.000669888,0,,0.014737536,,,,,0,,,,0,,0.009462168,,,0.246100104,0,,0,,,,0,,,0,0,,0,0,,,0.097301232,0.021394548,,0,0.364377204,1.1471832,,,,,,,0,,0,0,,0,,0,0,,0,6.221836008,,,,,
1937,11.72571955,0.007285032,0.416084184,1.579302828,1.193238,0.348927912,0.649456416,7.53142518,0.344196828,1.777966488,7.59108708,0.649456416,0.003935592,0,0,0.09797112,,0,0.001381644,,0.044421948,0,,,,0.000669888,,0,0.023990364,0,0.043919532,,0,0.012937212,0,0.008122392,0.117523476,0,,0,,0,,0.01193238,0.007159428,,,,,,0.00293076,0,,0.018882468,0,,0,0,,,0.000083736,,0.012099852,0.304045416,0.172203084,,0,0.000586152,0,,0.014779404,,,,,0,,,,0,,0.008917884,,,0.280976148,0,,0.000125604,,,,0,,,0,0,,0,0,,,0.0962964,0.020975868,,0,0.2993562,1.193238,,,,,,,0,,0,0,,0,,0,0,,0,7.23751182,,,,,
