Year,World,Africa,Asia and Oceania,Central and South America,Eurasia,Europe,Middle East,North America,EU28,OPEC,OECD,Persian Gulf,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burma,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Croatia,Cuba,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Malaysia,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,NZ,Oman,Pakistan,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Romania,Russian Federation & USSR,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Tajikistan,Thailand,Togo,Tunisia,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Yemen,Zambia,Zimbabwe
1900,0.845817336,0,0.023822892,0.001590984,0.432998856,0.027172332,0,0.360232272,0.027172332,0,0.381794292,0,0,0,0,0,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.005107896,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.0020934,0,,0,0,,,0.000083736,,0.006028992,0.013020948,0,,0,0.000083736,0,,0.004772952,,,,,0,,,,0,,0,,,0,0,,0,,,,0,,,0,0,,0,0,,,0.001590984,0.014528196,,0,0.010383264,0.432998856,,,,,,,0,,0,0,,0,,0,0,,0,0.355124376,,,,,
1901,0.9462168,0,0.03726252,0.001632852,0.484161552,0.031484736,0,0.39167514,0.031484736,0,0.416754072,0,0,0,0,0,,0,0,,0,0,,,,0,,0,0,0,0,,0,0.004228668,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.001842192,0,,0,0,,,0.000125604,,0.007996788,0.023194872,0,,0,0.000083736,0,,0.00607086,,,,,0,,,,0,,0,,,0.000083736,0,,0,,,,0,,,0,0,,0,0,,,0.001632852,0.01695654,,0,0.012476664,0.484161552,,,,,,,0,,0,0,,0,,0,0,,0,0.387362736,,,,,
1902,1.027398852,0,0.029684412,0.001339776,0.459878112,0.037806804,0,0.498689748,0.037806804,0,0.529504596,0,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.002972628,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.0020934,0,,0,0,,,0.000167472,,0.009043488,0.014067648,0,,0,0.000125604,0,,0.006573276,,,,,0,,,,0,,0,,,0.00020934,0,,0,,,,0,,,0,0,,0,0,,,0.001339776,0.021813228,,0,0.013565232,0.459878112,,,,,,,0,,0,0,,0,,0,0,,0,0.49550778,,,,,
1903,1.098155772,0,0.052628076,0.001549116,0.431700948,0.048315672,0,0.56396196,0.048315672,0,0.600303384,0,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.00272142,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.002637684,0,,0,0,,,0.000125604,,0.01402578,0.033326928,0,,0,0.000083736,0,,0.005275368,,,,,0,,,,0,,0,,,0.00041868,0,,0,,,,0,,,0,0,,0,0,,,0.001549116,0.028177164,,0,0.017249616,0.431700948,,,,,,,0,,0,0,,0,,0,0,,0,0.56082186,,,,,
1904,1.233138204,0,0.064225512,0.001632852,0.448992432,0.060792336,0,0.657495072,0.060792336,0,0.70380108,0,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.003098232,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.00376812,0,,0,0,,,0.000083736,,0.018882468,0.037597464,0,,0,0.000167472,0,,0.00774558,,,,,0,,,,0,,0,,,0.000795492,0,,0,,,,0,,,0,0,,0,0,,,0.001632852,0.034499232,,0,0.022231908,0.448992432,,,,,,,0,,0,0,,0,,0,0,,0,0.653601348,,,,,
1905,1.212832224,0,0.07578108,0.0020934,0.312251544,0.065607156,0,0.757099044,0.065607156,0,0.801520992,0,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.00355878,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.003307572,0,,0,0,,,0.00020934,,0.023069268,0.045343044,0,,0,0.000251208,0,,0.007368768,,,,,0,,,,0,,0,,,0.001507248,0,,0,,,,0,,,0,0,,0,0,,,0.0020934,0.033243192,,0,0.028553976,0.312251544,,,,,,,0,,0,0,,0,,0,0,,0,0.752033016,,,,,
1906,1.207975536,0,0.079297992,0.002972628,0.337958496,0.0753624,0.000041868,0.712342152,0.0753624,0.000041868,0.756596628,0.000041868,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.003181968,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.003391308,0,,0,0,,,0.000125604,,0.022441248,0.04731084,0,,0,0.000293076,0,,0.009545904,,,,,0,,,,0,,0,,,0.003014496,0,,0,,,,0,,,0,0,,0,0,,,0.002972628,0.030856716,,0,0.040653828,0.337958496,,,,,,,0,,0,0,,0,,0,0,,0,0.706145688,,,,,
1907,1.4936409,0,0.0931563,0.0041868,0.358138872,0.100106388,0,0.93805254,0.100106388,0,1.001315088,0,0,0,0,0,,0,0.000041868,,0,0,,,,0,,0,0,0,0,,0,0.00439614,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.004438008,0,,0,0,,,0.000083736,,0.024241572,0.057694104,0,,0,0.000334944,0,,0.011220624,,,,,0,,,,0,,0,,,0.006447672,0,,0,,,,0,,,0,0,,0,0,,,0.0041868,0.047143368,,0,0.048064464,0.358138872,,,,,,,0,,0,0,,0,,0,0,,0,0.927208728,,,,,
1908,1.614723156,0,0.099185292,0.005359104,0.361195236,0.125980812,0,1.023002712,0.125980812,0,1.11285144,0,0,0,0,0.000083736,,0,0.000083736,,0,0,,,,0,,0,0,0,0,,0,0.00293076,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.005903388,0,,0,0,,,0.000083736,,0.028177164,0.05945256,0,,0,0.000293076,0,,0.011555568,,,,,0,,,,0,,0,,,0.02344608,0,,0,,,,0,,,0,0,,0,0,,,0.005275368,0.071929224,,0,0.047687652,0.361195236,,,,,,,0,,0,0,,0,,0,0,,0,0.996625872,,,,,
1909,1.696742568,0,0.112289976,0.008331732,0.384180768,0.15030612,0,1.041633972,0.15030612,0,1.146387708,0,0,0,0,0.000125604,,0,0.000083736,,0,0,,,,0,,0,0,0,0,,0,0.002344608,0,0,0,0,,0,,0,,0,0,,,,,,0,0,,0.005735916,0,,0,0,,,0.000125604,,0.03726252,0.063806832,0,,0,0.000251208,0,,0.011220624,,,,,0,,,,0,,0,,,0.0167472,0,,0,,,,0,,,0,0,,0,0,,,0.007871184,0.087336648,,0,0.056773008,0.384180768,,,,,,,0,,0,0,,0,,0,0,,0,1.022542164,,,,,
