Year,World,Africa,Asia and Oceania,Central and South America,Eurasia,Europe,Middle East,North America,EU28,OECD,OPEC,Persian Gulf,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burma,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Croatia,Cuba,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Malaysia,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,NZ,Oman,Pakistan,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Romania,Russian Federation & USSR,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Tajikistan,Thailand,Togo,Tunisia,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Yemen,Zambia,Zimbabwe
1900,0.265825533,0,0,0,0,0,0,0.265825533,0,0.265825533,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.265825533,,,,,
1901,0.294581036,0,0,0,0,0,0,0.294581036,0,0.294581036,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.294581036,,,,,
1902,0.32333654,0,0,0,0,0,0,0.32333654,0,0.32333654,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.32333654,,,,,
1903,0.352092043,0,0,0,0,0,0,0.352092043,0,0.352092043,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.352092043,,,,,
1904,0.380847547,0,0,0,0,0,0,0.380847547,0,0.380847547,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.380847547,,,,,
1905,0.40960305,0,0,0,0,0,0,0.40960305,0,0.40960305,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.40960305,,,,,
1906,0.438358554,0,0,0,0,0,0,0.438358554,0,0.438358554,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.438358554,,,,,
1907,0.467114057,0,0,0,0,0,0,0.467114057,0,0.467114057,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.467114057,,,,,
1908,0.49586956,0,0,0,0,0,0,0.49586956,0,0.49586956,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.49586956,,,,,
1909,0.524625064,0,0,0,0,0,0,0.524625064,0,0.524625064,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,0,0,0,,,0,0,0,0,,,,,0,,0,0,,,,,,0,,,0,,,0,,,,0,,0,0,0,0,0,0,,,0,,,,,0,,,,0,,0,,,0,,,0,,,,0,,,0,0,,0,0,,,0,0,,0,0,0,,,,,,,0,,,,,0,,0,0,0,0,0.524625064,,,,,
