Year,World,North America,Middle East,Europe,Eurasia,Central and South America,EU28,Asia and Oceania,Africa,OECD,Persian Gulf,OPEC,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Czech republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong Special Administrative Region (China),Hungary,Iceland,Inde,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao Special Administrative Region (China),Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Niger,Nigeria,Nicaragua,Northern Mariana Islands,Niue,North Korea,Norway,Oman,Pakistan,Palestinian Territories,Papua New Guinea,Paraguay,Panama,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation & USSR,Rwanda,Saint Helena,Peru,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,United States Virgin Islands,Uruguay,U.S. Pacific Islands,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Western Sahara,Yemen,Reunion,Yugoslavia,Zambia,Zimbabwe
1900,19.25959825,6.750471456,0,11.54183553,0.389921968,0.010798385,11.05202981,0.542522611,0.024048293,18.20755763,0,0,0,0,0,,,,0,,,0.153068906,0.621092228,,,,,,,0.62919446,,,,,,,0,0,,,0.001802417,,0,0,,,0.153601132,,,,,0.00939162,0,0,,,,,,,,,0.471409845,,0,0,,,,,,,,,,,,,,,0.971013542,,,,,,2.330679329,,,7.46758E-05,0,,,,,,,,,,,0.085366093,,0,0.142370577,0.005949443,0,,0,,0.004213261,,,0.206864251,,,,,,,,,,,,,,,,,,0,,0.000644767,,,,,,,0.011048731,,0,,,0,0,,,0,0.009378432,,,0.026708074,0,0,,,,0,0,,0,,,,,0,0.687508818,0.000879228,,,0.000609305,0.389921968,,,0.001406765,,,,,,,,,,,,,,,,,0.024048293,0,,0.064112925,,,,0,0.006861144,,,0.001230919,,0,0,,,,,0,0.011435239,,,,,,5.639243952,6.585821593,,,,,,0,0.005685674,,,,0.006960643,0,0
1901,19.60774299,7.34939858,0,11.18784611,0.398875982,0.018657218,10.93001031,0.612609597,0.04035551,18.74831903,0,0,0,0,0,,,,0,,,0.165030363,0.655916954,,,,,,,0.595700709,,,,,,,0,0,,,0.002110147,,0,0,,,0.172445918,,,,,0.017338376,0,0,,,,,,,,,0.239830026,,0,0,,,,,,,,,,,,,,,0.939285134,,,,,,2.352620844,,,7.46758E-05,0,,,,,,,,,,,0.085812594,,0,0.154395118,0.006008058,0,,0,,0.003739269,,,0.249195636,,,,,,,,,,,,,,,,,,0,,0.000527537,,,,,,,0.014417757,,0,,,0,0,,,0,0.009173279,,,0.029979447,0,0,,,,0,0,,0,,,,,0,0.725188134,0.000468922,,,0.001005837,0.398875982,,,0.001318842,,,,,,,,,,,,,,,,,0.04035551,0,,0.065868597,,,,0,0.007405679,,,0.001934302,,0,0,,,,,0,0.010482303,,,,,,5.485639538,7.162534905,,,,,,0,0.005539136,,,,0.007523466,0,0
1902,20.08232669,7.68681525,0,11.26293942,0.397403758,0.02167297,11.0057562,0.653338164,0.060157131,19.18866585,0,0,0,0,0,,,,0,,,0.164440547,0.630942512,,,,,,,0.613480018,,,,,,,0,0,,,0.001978263,,0,0,,,0.198529682,,,,,0.02167297,0.001046281,0,,,,,,,,,0.238600792,,0,0,,,,,,,,,,,,,,,0.871731116,,,,,,2.321361622,,,5.16986E-05,0,,,,,,,,,,,0.080605821,,0,0.172764038,0.005627059,0,,0,,0.003674997,,,0.268389183,,,,,,,,,,,,,,,,,,0,,0.000556844,,,,,,,0.015589592,,0,,,0,0,,,0,0.011693732,,,0.033275234,0,0,,,,0,0,,0,,,,,0,0.705724663,0.000498229,,,0.001276639,0.397403758,,,0,,,,,,,,,,,,,,,,,0.060157131,0,,0.067249014,,,,0,0.008304162,,,0.002842837,,0,0,,,,,0,0.011571373,,,,,,5.687183712,7.472695976,,,,,,0,0.00439614,,,,0.007011052,0,0
1903,21.91413758,8.955322927,0,11.7507716,0.407105951,0.024982443,11.48979034,0.694323142,0.081631513,20.96373427,0,0,0,0,0,,,,0,,,0.170480258,0.644468643,,,,,,,0.638151156,,,,,,,0,0,,,0.001714495,,0,0,,,0.21163018,,,,,0.023898062,0.021678949,0,,,,,,,,,0.240037054,,0,0,,,,,,,,,,,,,,,1.014933911,,,,,,2.510528464,,,5.74429E-05,0,,,,,,,,,,,0.083259961,,0,0.173061788,0.006183904,0,,0,,0.003107426,,,0.2791661,,,,,,,,,,,,,,,,,,0,,0.000556844,,,,,,,0.016866055,,0,,,0,0,,,0,0.014302109,,,0.034666788,0,0,,,,0,0,,0,,,,,0,0.73367708,0.000234461,,,0.001189595,0.407105951,,,0.001084381,,,,,,,,,,,,,,,,,0.080371287,0,,0.067153764,,,,0,0.008712563,,,0.002373916,,0,0,,,,,0,0.013313886,,,,,,5.768299265,8.726826692,,,,,,0,0.006154596,,,,0.007630322,0,0.001260227
1904,22.02567036,8.829374029,0,11.87612179,0.473259462,0.023518528,11.61564728,0.731250645,0.092145908,20.97703341,0,2.93076E-05,0,0,0,,,,0,,,0.164298992,0.65295334,,,,,,,0.610369309,,,,,,,0,0,,,0.002154109,,0,0,,,0.219484616,,,,,0.021730765,0.023080966,0,,,,,,,,,0.237242165,,0,0,,,,,,,,,,,,,,,0.993574532,,,,,,2.610922644,,,7.46758E-05,0,,,,,,,,,,,0.085150286,,0,0.191201669,0.006770056,0,,0,,0.002390636,,,0.296686989,,,,,,,,,,,,,,,,,,0,,0.000380999,,,,,,,0.018330849,,0,,,0,0,,,0,0.013686649,,,0.037547549,0,0,,,,0,0,,0,,,,,0,0.738430187,0.000380999,,,0.001208939,0.473259462,,,0.001758456,,,,,,,,,,,,,,,,,0.090563298,0,,0.074861634,,,,0,0.00873979,,,0.002432531,,0,0,,,,,0,0.015110852,,,,,,5.820749553,8.591558563,,,,,,2.93076E-05,0.008850895,,,,0.008121488,0,0.00158261
1905,23.74560747,9.839131294,0,12.54459564,0.450572742,0.025142521,11.9893301,0.780040223,0.106125047,22.40213422,0,0,0,0,0,,,,0,,,0.179657786,0.683750279,,,,,,,0.583928286,,,,,,,0,0,,,0.002637684,,0,0,,,0.230973196,,,,,0.022944451,0.025382785,0,,,,,,,,,0.529512748,,0,0,,,,,,,,,,,,,,,1.04462251,,,,,,2.762315536,,,6.89315E-05,0,,,,,,,,,,,0.088789675,,0,0.195896966,0.008938818,0,,0,,0.00366622,,,0.319311138,,,,,,,,,,,,,,,,,,0,,0.000439614,,,,,,,0.017661229,,0,,,0,0,,,0,0.014507262,,,0.038719384,0,0,,,,0.000175846,0,,0,,,,,0,0.800235519,0.000410306,,,0.001257296,0.450572742,,,0.00219807,,,,,,,,,,,,,,,,,0.103545978,0,,0.080948705,,,,0,0.008767017,,,0.002784222,,0,0,,,,,0,0.016935045,,,,,,5.913424873,9.59049687,,,,,,0,0.008733665,,,,0.008817748,0,0.002579069
1906,25.07571311,10.39226419,0,12.96081716,0.524376986,0.029305783,12.67052966,1.047767567,0.121181416,23.71122296,0,0,0,0,0,,,,0,,,0.206057926,0.730244222,,,,,,,0.632063821,,,,,,,0,0,,,0.002110147,,0,0,,,0.259577413,,,,,0.026961175,0.189021183,0,,,,,,,,,0.262253842,,0,0,,,,,,,,,,,,,,,0.993539363,,,,,,2.974086334,,,6.89315E-05,0,,,,,,,,,,,0.094478353,,0,0.227664661,0.010902427,0,,0,,0.004233937,,,0.359225598,,,,,,,,,,,,,,,,,,0,,0.000410306,,,,,,,0.018749361,,0,,,0,0,,,0,0.016529486,,,0.042234889,0,0,,,,0,0,,0,,,,,0,0.844232967,0.000293076,,,0.001392697,0.524376986,,,0.002344608,,,,,,,,,,,,,,,,,0.118397194,0,,0.081617797,,,,0,0.008086348,,,0.003018683,,0,0,,,,,0,0.017452353,,,,,,6.287552184,10.11393742,,,,,,0,0.009231894,,,,0.010581304,0,0.002784222
1907,27.73804203,12.029944,0,13.78699593,0.627505024,0.029522659,13.47053021,1.130345247,0.133729172,26.20024758,0,0,0,0,0,,,,0,,,0.232056991,0.770351937,,,,,,,0.635684042,,,,,,,0,0,,,0.002637684,,0,0,,,0.279447966,,,,,0.024071446,0.186028819,0,,,,,,,,,0.284897626,,0,0,,,,,,,,,,,,,,,1.068203405,,,,,,3.137243736,,,6.89315E-05,0,,,,,,,,,,,0.095631519,,0,0.259409451,0.011781655,0,,0,,0.004078915,,,0.381986466,,,,,,,,,,,,,,,,,,0,,0.000967151,,,,,,,0.019774717,,0,,,0,0,,,0,0.021189395,,,0.044700626,0,0,,,,0,5.94651E-05,,0,,,,,7.91305E-05,0.924980387,0.000263768,,,0.001237953,0.627505024,,,0.005451214,,,,,,,,,,,,,,,,,0.130651874,0,,0.093302708,,,,0,0.008304162,,,0.003956526,,0,0,,,,,0,0.020774018,,,,,,6.707351667,11.73072132,,,,,,0,0.009378432,,,,0.010734612,0,0.003077298
1908,26.36125725,10.46719854,0,13.81788324,0.624367498,0.036307427,13.49633965,1.276793302,0.138707244,24.70584957,0,2.93076E-05,0,0,0,,,,0,,,0.244348745,0.777565255,,,,,,,0.632010188,,,,,,,0,0,,,0.002564415,,0,0,,,0.28941255,,,,,0.027163456,0.251107517,0,,,,,,,,,0.29079795,,0,0,,,,,,,,,,,,,,,1.0868489,,,,,,3.238529688,,,5.16986E-05,0,,,,,,,,,,,0.102299438,,0,0.297177965,0.012543653,0,,0,,0.004245543,,,0.410305008,,,,,,,,,,,,,,,,,,0,,0.000996458,,,,,,,0.022662453,,0,,,0,0,,,0,0.026611301,,,0.045433023,0,0,,,,0,0.000178395,,0,,,,,0.000197826,0.967151679,0.000146538,,,0.001557113,0.624367498,,,0.009114664,,,,,,,,,,,,,,,,,0.134340411,0,,0.098921239,,,,0,0.008304162,,,0.00451337,,0,0,,,,,0,0.019004279,,,,,,6.549532498,10.15512354,,,,,,2.93076E-05,0.010169737,,,,0.011562962,0,0.004366832
1909,27.54554788,11.55976859,0,13.93695272,0.651780655,0.036632786,13.62043389,1.20121882,0.159194311,25.88317153,0,0,0,0,0,,,,0,,,0.196219804,0.763311577,,,,,,,0.630669365,,,,,,,0,0.000337843,,,0.003253144,,0,0,,,0.279184198,,,,,0.025978667,0.23018189,0,,,,,,,,,0.28295673,,0,0,,,,,,,,,,,,,,,1.10050038,,,,,,3.275884774,,,2.29772E-05,0,,,,,,,,,,,0.111377042,,0,0.276220906,0.014477954,0,,0,,0.004912642,,,0.41661955,,,,,,,,,,,,,,,,,,0,,0.001846379,,,,,,,0.027245166,,0,,,0,0,,,0,0.03285382,,,0.046653684,0,0,,,,0.001758456,0.00011893,,0,,,,,0.000593479,0.984578857,0.000175846,,,0.000986494,0.651780655,,,0.010316275,,,,,,,,,,,,,,,,,0.154651633,0,,0.099428085,,,,0,0.00672501,,,0.005392598,,0,0,,,,,0,0.021618048,,,,,,6.605753883,11.25333923,,,,,,0,0.011254118,,,,0.011825118,0,0.004542678
