Year,World,North America,Middle East,Europe,Eurasia,Central and South America,EU28,Asia and Oceania,Africa,OECD,Persian Gulf,OPEC,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Czech republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong Special Administrative Region (China),Hungary,Iceland,Inde,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao Special Administrative Region (China),Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Niger,Nigeria,Nicaragua,Northern Mariana Islands,Niue,North Korea,Norway,Oman,Pakistan,Palestinian Territories,Papua New Guinea,Paraguay,Panama,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation & USSR,Rwanda,Saint Helena,Peru,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,United States Virgin Islands,Uruguay,U.S. Pacific Islands,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Western Sahara,Yemen,Reunion,Yugoslavia,Zambia,Zimbabwe
1910,29.02360588,12.62074843,0,14.32195301,0.609466342,0.040033127,13.70763694,1.251276713,0.180128261,27.09682599,0,0,0,0,0,,,,0,,,0.23340177,0.752457258,,,,,,,0.64136913,,,,,,,0,0,,,0.003516912,,0,0,,,0.343221304,,,,,0.031035693,0.20712185,0,,,,,,,,,0.581732209,,0,0,,,,,,,,,,,,,,,1.115564486,,,,,,3.324892561,,,5.74429E-06,0,,,,,,,,,,,0.110670553,,0,0.280343606,0.015914027,0,,0.002373916,,0.004994616,,,0.434114209,,,,,,,,,,,,,,,,,,0,,0.002579069,,,,,,,0.028291447,,0,,,0,0,,,0,0.037865419,,,0.053635868,0,0,,,,0.002168762,0.000148663,,0,,,,,0.000573696,0.984499727,0.000234461,,,0.001179924,0.609466342,,,0.008997433,,,,,,,,,,,,,,,,,0.175351122,0,,0.097519339,,,,0,0.008249708,,,0.006799363,,0,0,,,,,0,0.020801245,,,,,,6.622243188,12.24923568,,,,,,0,0.014624492,,,,0.011633945,0,0.004777139
1911,29.54056371,12.45198302,0,14.78670682,0.647234519,0.044353184,14.15948487,1.435854952,0.174431215,27.45684777,0,0,0,0,0,,,,0,,,0.25296005,0.772049447,,,,,,,0.618226531,,,,,,,0,0,,,0.004352179,,0,0,,,0.301047667,,,,,0.034329985,0.307606708,0,,,,,,,,,0.589400308,,0,0,,,,,,,,,,,,,,,1.141425513,,,,,,3.496390672,,,0,0,,,,,,,,,,,0.114760341,,0,0.295918251,0.017672483,0,,0,,0.004959505,,,0.488004145,,,,,,,,,,,,,,,,,,0,,0,,,,,,,0.029295877,,0,,,0,0,,,0,0.043287325,,,0.050437735,0,0,,,,0.002579069,0.000654116,,0,,,,,0.000395653,1.050759228,0.000322384,,,0.001266968,0.647234519,,,0.010023199,,,,,,,,,,,,,,,,,0.168774848,0,,0.09414199,,,,0,0.008494749,,,0.007473438,,0,0,,,,,0,0.024612991,,,,,,6.809048043,12.12163948,,,,,,0,0.012807421,,,,0.012554526,0,0.005656367
1912,30.99938766,13.458374,0,15.17564346,0.76366299,0.046662066,14.5126656,1.370139854,0.184905283,28.90291156,0,0,0,0,0,,,,0,,,0.281176821,0.827748439,,,,,,,0.616027581,,,,,,,0,0.000225229,,,0.005070215,,0,0,,,0.385863862,,,,,0.038260017,0.108101786,0,,,,,,,,,0.627505463,,0,0,,,,,,,,,,,,,,,1.197057199,,,,,,3.873059743,,,0,0,,,,,,,,,,,0.117325606,,0,0.342229915,0.017848328,0,,0,,0.005869404,,,0.543548714,,,,,,,,,,,,,,,,,,0,,0,,,,,,,0.020548965,,0,,,0,0,,,0,0.05055561,,,0.053172017,0,0,,,,0.003223836,0.000713581,,0,,,,,5.93479E-05,1.186598196,0.000439614,,,0.001982659,0.76366299,,,0.00817682,,,,,,,,,,,,,,,,,0.179160993,0,,0.099473746,,,,0,0.009801634,,,0.00817682,,0,0,,,,,0,0.022053676,,,,,,6.521655959,13.05196118,,,,,,0,0.012602268,,,,0.012705138,0,0.00574429
1913,33.21542578,14.33039332,0,16.3344686,0.828185884,0.045619199,15.61943639,1.474284763,0.202474016,30.93630018,0,0.000175846,0,0,0,,,,0,,,0.297597283,0.86233167,,,,,,,0.612541442,,,,,,,0,0.000337843,,,0.005333983,,0,0,,,0.399110897,,,,,0.037075228,0.118815707,0,,,,,,,,,0.656352025,,0,0,,,,,,,,,,,,,,,1.187743244,,,,,,4.203761016,,,0,0,,,,,,,,,,,0.125193084,,0,0.377181251,0.016646717,0,,0.002461838,,0.006147313,,,0.589766506,,,,,,,,,,,,,,,,,,0,,0,,,,,,,0.012555376,,0,,,0,0,,,0,0.054893135,,,0.04609218,0,0,,,,0.003751373,0.000981174,,0,,,,,7.91305E-05,1.245868714,0.00073269,,,0.002224447,0.828185884,,,0.008030282,,,,,,,,,,,,,,,,,0.196026344,0,,0.102132121,,,,0,0.009910541,,,0.009437047,,0,0,,,,,0,0.022516531,,,,,,7.19816115,13.91872704,,,,,,0.000175846,0.014917568,,,,0.035182484,0,0.006447672
1914,29.81153696,12.91949597,0,14.30361481,0.776185644,0.040223714,13.68463997,1.572693837,0.199322981,27.61681928,0,0.000263768,0,0,0,,,,0,,,0.298257877,0.782852991,,,,,,,0.448210212,,,,,,,0,0.000225229,,,0.006403711,,0,0,,,0.362593627,,,,,0.031411358,0.166860945,0,,,,,,,,,0.599466941,,0,0,,,,,,,,,,,,,,,0.798696577,,,,,,3.654476951,,,0.000114886,0,,,,,,,,,,,0.111730096,,0,0.383136262,0.018141404,0,,0.002754914,,0.006858301,,,0.616801961,,,,,,,,,,,,,,,,,,0,,5.86152E-05,,,,,,,0.016321989,,0,,,0,0,,,0,0.058116971,,,0.055564513,0,0,,,,0.005363291,0.001129837,,0,,,,,0.000197826,1.041678561,0.00084992,,,0.002456563,0.776185644,,,0.008323358,,,,,,,,,,,,,,,,,0.190032471,0,,0.106369648,,,,0,0.009992221,,,0.01014043,,0,0,,,,,0,0.018378063,,,,,,6.653077451,12.54058035,,,,,,0.000263768,0.018170712,,,,0,0,0.009290509
1915,29.34027052,13.3422747,0,13.46221696,0.763965503,0.043369518,12.85046554,1.526187511,0.20225632,27.12204547,0,0.00061546,0,0,0,,,,0,,,0.273579998,0.783606211,,,,,,,0.380203685,,,,,,,0,0.000563072,,,0.008118205,,0,0,,,0.352716966,,,,,0.033867628,0.177721345,0,,,,,,,,,0.599781001,,0,0,,,,,,,,,,,,,,,0.564499545,,,,,,3.430729984,,,0.000229772,0,,,,,,,,,,,0.113271398,,0,0.39802379,0.018258635,0,,0.002520454,,0.008505959,,,0.566978016,,,,,,,,,,,,,,,,,,0,,0.000351691,,,,,,,0.009416532,,0,,,0,0,,,0,0.068374631,,,0.053928827,0,0.000205153,,,,0.00671144,0.000535186,,0,,,,,0.000593479,1.020848771,0.001758456,,,0.002901452,0.763965503,,,0.008528512,,,,,,,,,,,,,,,,,0.191148739,0,,0.112740505,,,,0,0.011217425,,,0.011195503,,0,0,,,,,0,0.011435239,,,,,,6.340939084,12.9801412,,,,,,0.000410306,0.018844787,,,,0,0,0.010902427
1916,31.47186823,14.79930136,0,13.98397209,0.806460116,0.052571548,13.33926178,1.59039167,0.23917144,29.09749215,0,0.001289534,0,0,0,,,,0,,,0.235176023,0.550275277,,,,,,,0.505838772,,,,,,,0,0.001689217,,,0.0096422,,0,0,,,0.385043249,,,,,0.040976362,0.198437715,0,,,,,,,,,0.638482229,,0,0,,,,,,,,,,,,,,,0.615541661,,,,,,3.707987441,,,0.000672082,0,,,,,,,,,,,0.112640742,,0,0.401528085,0.021951392,0,,0.002666992,,0.011818539,,,0.633662697,,,,,,,,,,,,,,,,,,0,,0.002989375,,,,,,,0.006277688,,0,,,0,0,,,0,0.077840986,,,0.055100662,0,0.00073269,,,,0.005597752,0.000564919,,0,,,,,0.000573696,1.171187967,0.004190987,,,0.002572621,0.806460116,,,0.009349124,,,,,,,,,,,,,,,,,0.225243443,0,,0.134633868,,,,0,0.011299106,,,0.015298567,,0,0,,,,,0.000124118,0.005663166,,,,,,6.420452537,14.40798042,,,,,,0.000556844,0.020075706,,,,0,0,0.01307119
1917,32.77498117,16.28732573,0,13.67982937,0.754616217,0.058812411,13.0744905,1.735868398,0.258529051,30.42172107,0,0.003106606,0,0,5.86152E-05,,,,0,,,0.244812303,0.034880513,,,,,,,0.400396475,,,,,,,0,0.003378434,,,0.011459272,,0,0,,,0.373466747,,,,,0.044472935,0.219279639,0,,,,,,,,,0.600266496,,0,0,,,,,,,,,,,,,,,0.833853974,,,,,,3.874733559,,,0.000907598,0,,,,,,,,,,,0.110674422,,0,0.423836473,0.024120155,0,,0.002842837,,0.015863369,,,0.72963417,,,,,,,,,,,,,,,,,,0,,0.004542678,,,,,,,0.009018945,,0,,,0,0,,,0,0.092060154,,,0.050486561,0,0.002461838,,,,0,0.000743314,,0,,,,,0.000118696,1.307914954,0.005539136,,,0.003114226,0.754616217,,,0.01037489,,,,,,,,,,,,,,,,,0.24104106,0,,0.144966849,,,,0,0.012061455,,,0.019870553,,0,0,,,,,0.000372353,0.004329055,,,,,,6.223221709,15.90484004,,,,,,0.000586152,0.01916717,,,,0,0,0.014595185
1918,32.18930617,17.02848371,0,12.67624822,0.295247752,0.06200395,12.15861105,1.879717543,0.247604995,30.31277743,0,0.006059932,0,0,0.000169105,,,,0,,,0.261913024,0.033736374,,,,,,,0.372507363,,,,,,,0,0.006531638,,,0.010052507,,0,0,,,0.449830351,,,,,0.043837194,0.232462784,0,,,,,,,,,0.510937708,,0,0,,,,,,,,,,,,,,,0.754137302,,,,,,3.748685469,,,0.001223534,0,,,,,,,,,,,0.103142383,,0,0.482241391,0.024413231,0,,0.002725607,,0.019520078,,,0.775901785,,,,,,,,,,,,,,,,,,0,,0.004952984,,,,,,,0.016342914,,0,,,0,0,,,0,0.120727969,,,0.049656511,0,0.00439614,,,,0.005509829,0.001635291,,0,,,,,0.000316522,1.09525432,0.005421906,,,0.002272804,0.295247752,,,0.01014043,,,,,,,,,,,,,,,,,0.229490114,0,,0.174629393,,,,0,0.010999611,,,0.023680541,,0,0,,,,,0.000507754,0.005064177,,,,,,5.703574427,16.56231044,,,,,,0.001494688,0.018668941,,,,0,0,0.013041882
1919,27.3011675,13.95944885,0,10.76840117,0.206098077,0.060150625,10.25031358,2.050255039,0.256813736,25.40058129,0,0.005140113,0,0,0.000187129,,,,0,,,0.252746281,0.030518429,,,,,,,0.495648519,,,,,,,0,0.006306409,,,0.008836241,,0,0,,,0.417117589,,,,,0.042912481,0.267952646,0,,,,,,,,,0.480654458,,0,0,,,,,,,,,,,,,,,0.647199731,,,,,,2.937905105,,,0.001051205,0,,,,,,,,,,,0.048362845,,0,0.526583321,0.02784222,0,,0.002754914,,0.010560657,,,0.865618063,,,,,,,,,,,,,,,,,,0,,0.005597752,,,,,,,0.014522385,,0,,,0,0,,,0,0.124984312,,,0.045115651,0,0.004103064,,,,0.006535595,0.002021814,,0,,,,,0.000652827,0.001881548,0.003809988,,,0.019132587,0.206098077,,,0.010081814,,,,,,,,,,,,,,,,,0.238954124,0,,0.15183573,,,,0,0.01168028,,,0.03212113,,0,0,,,,,0,0.010373396,,,,,,5.75415149,13.52780888,,,,,,0.00084992,0.019489554,,,,0.025037922,0,0.013569419
1920,31.29021603,16.59982896,0,12.22471618,0.185219782,0.049414006,11.63047932,1.944644721,0.286392373,29.40490391,0,0.006265086,0,0,0.000198412,,,,0,,,0.308482976,0.037327962,,,,,,,0.600393589,,,,,,,0,0.006914527,,,0.011649771,,0,0,,,0.509683475,,,,,0.030717823,0.295700027,0,,,,,,,,,0.542902394,,5.86152E-05,0,,,,,,,,,,,,,,,0.728991381,,,,,,3.3644507,,,0.001131625,0,,,,,,,,,,,0.06183546,,0,0.417995982,0.003106606,0,,0.003223836,,0.018253184,,,0.809538997,,,,,,,,,,,,,,,,,,0,,0.007268285,,,,,,,0.014961823,,0,,,0,0,,,0,0.136381744,,,0.038774116,0,0.005363291,,,,0.008469896,0.002289407,,0,,,,,0.001147393,0.73925754,0.004615947,,,0.01904994,0.185219782,,,0.011078273,,,,,,,,,,,,,,,,,0.265065085,0,,0.143971944,,,,0,0.011979775,,,0.033645125,,0,0,,,,,0.000349786,0.015492027,,,,,,5.74796492,16.07518367,,,,,,0.000703382,0.02051532,,,,0.03355304,0,0.015357182
