Country,Year,Biofuels (TWh),Hydro (TWh – sub method),Nuclear (TWh – sub method),Renewables (TWh – sub method),Solar (TWh – sub method),Wind (TWh – sub method),Other renewables (TWh – sub method),Low-carbon energy (TWh – sub method),Low-carbon energy (TWh),Fossil Fuels (TWh),Primary energy (TWh),Primary energy – direct (TWh),Coal (% primary direct energy),Gas (% primary direct energy),Oil (% primary direct energy),Biofuels (% primary direct energy),Nuclear (% primary direct energy),Hydro (% primary direct energy),Renewables (% primary direct energy),Solar (% primary direct energy),Wind (% primary direct energy),Other renewables (% primary direct energy),Fossil Fuels (% primary direct energy),Low-carbon energy (% primary direct energy),Coal (% sub energy),Gas (% sub energy),Oil (% sub energy),Biofuels (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Renewables (% sub energy),Solar (% sub energy),Wind (% sub energy),Other renewables (% sub energy),Fossil Fuels (% sub energy),Low-carbon energy (% sub energy),Coal (% growth),Coal (TWh growth – sub method),Oil (% growth),Oil (TWh growth – sub method),Gas (% growth),Gas (TWh growth – sub method),Biofuels (% growth),Biofuels (TWh growth – sub method),Fossil Fuels (% growth),Fossil Fuels (TWh growth – sub method),Hydro (% growth),Hydro (TWh growth – sub method),Nuclear (% growth),Nuclear (TWh growth – sub method),Renewables (% growth),Renewables (TWh growth – sub method),Solar (% growth),Solar (TWh growth – sub method),Wind (% growth),Wind (TWh growth – sub method),Other renewables (% growth),Other renewables (TWh growth – sub method),Low-carbon energy (% growth),Low-carbon energy (TWh growth – sub method),Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Biofuels per capita (kWh),Fossil Fuels per capita (kWh),Hydro per capita (kWh),Nuclear per capita (kWh),Renewables per capita (kWh),Solar per capita (kWh),Wind per capita (kWh),Other renewables per capita (kWh),Low-carbon energy per capita (kWh)
Africa,1965,,38.627,0.0,38.627,0.0,0.0,0.0,38.627,,660.374,699.0,,,,,,,,,,,,,,0.167,0.005,0.169,,0.0,0.02,0.02,0.0,0.0,0.0,0.34,0.02,,,,,,,,,,,,,,,,,,,,,,,,,1010.461,1022.446,29.811,,2062.718,120.653,0.0,120.653,0.0,0.0,0.0,120.653
Africa,1966,,43.083,0.0,43.083,0.0,0.0,0.0,43.083,,691.925,735.009,,,,,,,,,,,,,,0.158,0.005,0.175,,0.0,0.021,0.021,0.0,0.0,0.0,0.339,0.021,-0.116,-0.374,9.409,30.8,11.8,1.126,,,4.778,31.552,11.538,4.457,,0.0,11.538,4.457,,0.0,,0.0,,0.0,11.538,4.457,984.359,1091.015,32.505,,2107.879,131.249,0.0,131.249,0.0,0.0,0.0,131.249
Africa,1967,,44.974,0.0,44.974,0.0,0.0,0.0,44.974,,696.119,741.093,,,,,,,,,,,,,,0.16,0.005,0.173,,0.0,0.022,0.022,0.0,0.0,0.0,0.338,0.022,2.219,7.169,-0.796,-2.851,-1.164,-0.124,,,0.606,4.194,4.388,1.891,,0.0,4.388,1.891,,0.0,,0.0,,0.0,4.388,1.891,981.168,1055.404,31.327,,2067.899,133.6,0.0,133.6,0.0,0.0,0.0,133.6
Africa,1968,,52.607,0.0,52.607,0.0,0.0,0.0,52.607,,729.055,781.661,,,,,,,,,,,,,,0.158,0.005,0.173,,0.0,0.024,0.024,0.0,0.0,0.0,0.336,0.024,4.003,13.221,5.508,19.571,1.359,0.143,,,4.731,32.935,16.971,7.633,,0.0,16.971,7.633,,0.0,,0.0,,0.0,16.971,7.633,994.882,1085.647,30.957,,2111.486,152.359,0.0,152.359,0.0,0.0,0.0,152.359
Africa,1969,,61.391,0.0,61.391,0.0,0.0,0.0,61.391,,739.109,800.5,,,,,,,,,,,,,,0.156,0.006,0.171,,0.0,0.028,0.028,0.0,0.0,0.0,0.332,0.028,0.911,3.13,1.366,5.121,16.868,1.803,,,1.379,10.054,16.699,8.785,,0.0,16.699,8.785,,0.0,,0.0,,0.0,16.699,8.785,978.624,1072.72,35.267,,2086.611,173.317,0.0,173.317,0.0,0.0,0.0,173.317
Africa,1970,,76.751,0.0,76.751,0.0,0.0,0.0,76.751,,796.088,872.839,,,,,,,,,,,,,,0.149,0.006,0.173,,0.0,0.032,0.032,0.0,0.0,0.0,0.328,0.032,4.072,14.114,10.484,39.837,24.242,3.028,,,7.709,56.979,25.02,15.36,,0.0,25.02,15.36,,0.0,,0.0,,0.0,25.02,15.36,992.598,1155.078,42.703,,2190.378,211.176,0.0,211.176,0.0,0.0,0.0,211.176
Africa,1971,,72.259,0.0,72.715,0.0,0.0,0.456,72.715,,875.876,948.591,,,,,,,,,,,,,,0.145,0.007,0.18,,0.0,0.027,0.028,0.0,0.0,0.0,0.332,0.028,6.169,22.255,13.017,54.648,18.588,2.885,,,10.023,79.789,-5.852,-4.492,,0.0,-5.259,-4.036,,0.0,,0.0,,0.456,-5.259,-4.036,1026.889,1272.063,49.346,,2348.298,193.734,0.0,194.955,0.0,0.0,1.221,194.955
Africa,1972,,82.315,0.0,82.773,0.0,0.0,0.458,82.773,,923.136,1005.909,,,,,,,,,,,,,,0.138,0.009,0.184,,0.0,0.029,0.03,0.0,0.0,0.0,0.33,0.03,0.313,1.198,8.388,39.796,34.041,6.265,,,5.396,47.259,13.915,10.055,,0.0,13.832,10.058,,0.0,,0.0,0.61,0.003,13.832,10.058,1003.587,1343.269,64.442,,2411.298,215.011,0.0,216.209,0.0,0.0,1.197,216.209
Africa,1973,,87.071,0.0,87.544,0.0,0.0,0.472,87.544,,1001.571,1089.115,,,,,,,,,,,,,,0.135,0.013,0.183,,0.0,0.029,0.029,0.0,0.0,0.0,0.331,0.029,6.429,24.7,7.556,38.855,60.319,14.881,,,8.497,78.435,5.779,4.757,,0.0,5.764,4.771,,0.0,,0.0,3.03,0.014,5.764,4.771,1040.368,1407.242,100.629,,2548.239,221.531,0.0,222.732,0.0,0.0,1.201,222.732
Africa,1974,,99.075,0.0,99.561,0.0,0.0,0.486,99.561,,1042.416,1141.977,,,,,,,,,,,,,,0.134,0.014,0.18,,0.0,0.031,0.031,0.0,0.0,0.0,0.329,0.031,4.093,16.736,3.461,19.142,12.557,4.967,,,4.078,40.844,13.786,12.004,,0.0,13.728,12.018,,0.0,,0.0,2.941,0.014,13.728,12.018,1054.505,1417.704,110.291,,2582.5,245.451,0.0,246.655,0.0,0.0,1.204,246.655
