Country,Year,Biofuels (TWh),Hydro (TWh – sub method),Nuclear (TWh – sub method),Renewables (TWh – sub method),Solar (TWh – sub method),Wind (TWh – sub method),Other renewables (TWh – sub method),Low-carbon energy (TWh – sub method),Low-carbon energy (TWh),Fossil Fuels (TWh),Primary energy (TWh),Primary energy – direct (TWh),Coal (% primary direct energy),Gas (% primary direct energy),Oil (% primary direct energy),Biofuels (% primary direct energy),Nuclear (% primary direct energy),Hydro (% primary direct energy),Renewables (% primary direct energy),Solar (% primary direct energy),Wind (% primary direct energy),Other renewables (% primary direct energy),Fossil Fuels (% primary direct energy),Low-carbon energy (% primary direct energy),Coal (% sub energy),Gas (% sub energy),Oil (% sub energy),Biofuels (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Renewables (% sub energy),Solar (% sub energy),Wind (% sub energy),Other renewables (% sub energy),Fossil Fuels (% sub energy),Low-carbon energy (% sub energy),Coal (% growth),Coal (TWh growth – sub method),Oil (% growth),Oil (TWh growth – sub method),Gas (% growth),Gas (TWh growth – sub method),Biofuels (% growth),Biofuels (TWh growth – sub method),Fossil Fuels (% growth),Fossil Fuels (TWh growth – sub method),Hydro (% growth),Hydro (TWh growth – sub method),Nuclear (% growth),Nuclear (TWh growth – sub method),Renewables (% growth),Renewables (TWh growth – sub method),Solar (% growth),Solar (TWh growth – sub method),Wind (% growth),Wind (TWh growth – sub method),Other renewables (% growth),Other renewables (TWh growth – sub method),Low-carbon energy (% growth),Low-carbon energy (TWh growth – sub method),Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Biofuels per capita (kWh),Fossil Fuels per capita (kWh),Hydro per capita (kWh),Nuclear per capita (kWh),Renewables per capita (kWh),Solar per capita (kWh),Wind per capita (kWh),Other renewables per capita (kWh),Low-carbon energy per capita (kWh)
Africa,1975,,104.772,0.0,105.25,0.0,0.0,0.478,105.25,,1103.511,1208.761,,,,,,,,,,,,,,0.134,0.016,0.178,,0.0,0.031,0.031,0.0,0.0,0.0,0.329,0.031,5.975,25.434,4.638,26.541,20.486,9.12,,,5.861,61.095,5.75,5.697,,0.0,5.714,5.689,,0.0,,0.0,-1.714,-0.008,5.714,5.689,1087.795,1444.003,129.351,,2661.149,252.661,0.0,253.813,0.0,0.0,1.152,253.813
Africa,1976,,116.105,0.0,116.619,0.0,0.0,0.514,116.619,,1206.331,1322.949,,,,,,,,,,,,,,0.131,0.017,0.181,,0.0,0.032,0.032,0.0,0.0,0.0,0.328,0.032,6.649,29.994,10.936,65.483,13.69,7.343,,,9.318,102.82,10.816,11.332,,0.0,10.801,11.369,,0.0,,0.0,7.558,0.036,10.801,11.369,1128.9,1558.802,143.1,,2830.802,272.454,0.0,273.66,0.0,0.0,1.206,273.66
Africa,1977,,127.58,0.0,128.105,0.0,0.0,0.525,128.105,,1263.307,1391.412,,,,,,,,,,,,,,0.127,0.018,0.182,,0.0,0.033,0.033,0.0,0.0,0.0,0.327,0.033,2.208,10.624,5.886,39.099,11.893,7.253,,,4.723,56.976,9.884,11.475,,0.0,9.85,11.486,,0.0,,0.0,2.162,0.011,9.85,11.486,1122.46,1605.675,155.766,,2883.901,291.242,0.0,292.441,0.0,0.0,1.198,292.441
Africa,1978,,128.63,0.0,129.172,0.0,0.0,0.542,129.172,,1315.812,1444.984,,,,,,,,,,,,,,0.119,0.024,0.185,,0.0,0.032,0.032,0.0,0.0,0.0,0.328,0.032,-2.823,-13.883,5.296,37.252,42.7,29.136,,,4.156,52.505,0.823,1.05,,0.0,0.833,1.067,,0.0,,0.0,3.175,0.017,0.833,1.067,1060.861,1644.359,216.184,,2921.404,285.589,0.0,286.792,0.0,0.0,1.203,286.792
Africa,1979,,137.681,0.0,138.24,0.0,0.0,0.558,138.24,,1445.936,1584.176,,,,,,,,,,,,,,0.115,0.034,0.179,,0.0,0.031,0.031,0.0,0.0,0.0,0.329,0.031,6.16,29.431,6.646,49.22,52.863,51.473,,,9.889,130.125,7.036,9.051,,0.0,7.02,9.067,,0.0,,0.0,3.077,0.017,7.02,9.067,1095.133,1705.255,321.348,,3121.735,297.25,0.0,298.455,0.0,0.0,1.205,298.455
Africa,1980,,134.2,0.0,134.775,0.0,0.0,0.575,134.775,,1565.743,1700.518,,,,,,,,,,,,,,0.115,0.04,0.177,,0.0,0.028,0.029,0.0,0.0,0.0,0.331,0.029,7.158,36.31,5.751,45.425,25.578,38.071,,,8.286,119.806,-2.529,-3.482,,0.0,-2.507,-3.465,,0.0,,0.0,2.985,0.017,-2.507,-3.465,1141.002,1753.349,392.358,,3286.709,281.703,0.0,282.91,0.0,0.0,1.207,282.91
Africa,1981,,139.425,0.0,140.03,0.0,0.0,0.606,140.03,,1752.171,1892.201,,,,,,,,,,,,,,0.121,0.043,0.169,,0.0,0.027,0.027,0.0,0.0,0.0,0.333,0.027,16.97,92.242,6.298,52.609,22.244,41.577,,,11.907,186.428,3.894,5.225,,0.0,3.9,5.256,,0.0,,0.0,5.314,0.031,3.9,5.256,1297.539,1811.985,466.305,,3575.83,284.538,0.0,285.774,0.0,0.0,1.236,285.774
Africa,1982,,139.462,0.0,140.117,0.0,0.0,0.656,140.117,,1880.16,2020.278,,,,,,,,,,,,,,0.125,0.044,0.166,,0.0,0.025,0.025,0.0,0.0,0.0,0.335,0.025,10.283,65.377,4.997,44.37,7.984,18.242,,,7.305,127.99,0.027,0.037,,0.0,0.062,0.087,,0.0,,0.0,8.257,0.05,0.062,0.087,1391.129,1849.577,489.518,,3730.224,276.691,0.0,277.992,0.0,0.0,1.301,277.992
Africa,1983,,125.687,0.0,126.326,0.0,0.0,0.639,126.326,,1947.711,2074.037,,,,,,,,,,,,,,0.124,0.047,0.167,,0.0,0.022,0.022,0.0,0.0,0.0,0.338,0.022,1.721,12.07,3.319,30.939,9.947,24.542,,,3.593,67.551,-9.877,-13.775,,0.0,-9.843,-13.792,,0.0,,0.0,-2.542,-0.017,-9.843,-13.792,1375.65,1857.718,523.213,,3756.581,242.414,0.0,243.646,0.0,0.0,1.232,243.646
Africa,1984,,123.583,10.903,124.233,0.0,0.0,0.65,135.136,,2007.814,2142.95,,,,,,,,,,,,,,0.128,0.044,0.165,,0.002,0.021,0.021,0.0,0.0,0.0,0.337,0.023,6.961,49.652,2.266,21.823,-4.192,-11.373,,,3.086,60.102,-1.673,-2.103,,10.903,-1.656,-2.092,,0.0,,0.0,1.739,0.011,6.975,8.811,1430.403,1846.857,487.307,,3764.567,231.714,20.442,232.932,0.0,0.0,1.219,253.375
Africa,1985,,137.36,14.764,138.108,0.0,0.0,0.747,152.871,,2073.619,2226.49,,,,,,,,,,,,,,0.127,0.045,0.163,,0.002,0.022,0.022,0.0,0.0,0.0,0.335,0.025,3.181,24.268,2.294,22.597,7.287,18.94,,,3.277,65.805,11.148,13.777,35.414,3.861,11.168,13.874,,0.0,,0.0,14.957,0.097,13.124,17.735,1434.796,1836.605,508.257,,3779.658,250.371,26.911,251.733,0.0,0.0,1.362,278.644
Africa,1986,,142.071,24.453,143.901,0.0,0.0,1.831,168.354,,2111.052,2279.406,,,,,,,,,,,,,,0.127,0.049,0.157,,0.004,0.022,0.023,0.0,0.0,0.0,0.333,0.027,2.311,18.19,-1.507,-15.186,12.347,34.428,,,1.805,37.433,3.429,4.71,65.626,9.689,4.195,5.794,,0.0,,0.0,144.981,1.083,10.128,15.482,1427.109,1758.596,555.124,,3740.829,251.752,43.331,254.996,0.0,0.0,3.244,298.327
Africa,1987,,136.268,17.131,138.096,0.0,0.0,1.828,155.226,,2198.916,2354.143,,,,,,,,,,,,,,0.127,0.049,0.16,,0.003,0.021,0.021,0.0,0.0,0.0,0.336,0.024,2.851,22.964,5.521,54.788,3.228,10.113,,,4.162,87.865,-4.084,-5.803,-29.944,-7.322,-4.034,-5.805,,0.0,,0.0,-0.152,-0.003,-7.798,-13.128,1427.095,1804.217,557.152,,3788.464,234.773,29.514,237.922,0.0,0.0,3.149,267.436
Africa,1988,,148.871,29.147,150.61,0.0,0.0,1.739,179.757,,2339.074,2518.831,,,,,,,,,,,,,,0.127,0.051,0.156,,0.004,0.021,0.022,0.0,0.0,0.0,0.334,0.026,7.466,61.841,4.131,43.257,10.842,35.06,,,6.374,140.158,9.249,12.603,70.148,12.017,9.062,12.514,,0.0,,0.0,-4.863,-0.089,15.803,24.531,1491.435,1827.042,600.562,,3919.039,249.428,48.835,252.341,0.0,0.0,2.913,301.177
Africa,1989,,156.323,30.831,158.037,0.0,0.0,1.714,188.867,,2337.125,2525.992,,,,,,,,,,,,,,0.119,0.053,0.161,,0.004,0.022,0.023,0.0,0.0,0.0,0.333,0.027,-6.127,-54.54,3.628,39.564,3.634,13.027,,,-0.083,-1.95,5.006,7.452,5.775,1.683,4.931,7.427,,0.0,,0.0,-1.438,-0.025,5.068,9.11,1362.029,1841.907,605.483,,3809.419,254.8,50.253,257.594,0.0,0.0,2.794,307.846
Africa,1990,0.0,159.041,23.469,161.285,0.0,0.0,2.244,184.755,66.512,2421.581,2606.336,2488.093,35.28,16.022,46.024,0.0,0.34,2.301,2.334,0.0,0.0,0.032,97.327,2.673,0.121,0.055,0.158,0.0,0.003,0.022,0.022,0.0,0.0,0.0,0.334,0.026,5.049,42.189,1.336,15.093,7.315,27.174,,,3.614,84.456,1.739,2.718,-23.876,-7.361,2.056,3.248,,0.0,,0.0,30.956,0.531,-2.178,-4.113,1392.577,1816.65,632.42,0.0,3841.647,252.306,37.232,255.866,0.0,0.0,3.561,293.099
Africa,1991,0.0,168.476,25.4,170.765,0.0,0.0,2.289,196.165,70.619,2403.493,2599.658,2474.113,34.485,16.234,46.427,0.0,0.37,2.451,2.485,0.0,0.0,0.033,97.146,2.854,0.118,0.056,0.159,0.0,0.004,0.023,0.024,0.0,0.0,0.0,0.333,0.027,-2.804,-24.615,0.309,3.537,0.75,2.99,,0.0,-0.747,-18.088,5.933,9.436,8.226,1.931,5.878,9.48,,0.0,,0.0,1.98,0.044,6.176,11.411,1317.994,1774.423,620.437,0.0,3712.853,260.258,39.237,263.794,0.0,0.0,3.536,303.031
Africa,1992,0.0,160.723,25.8,163.096,0.0,0.0,2.373,188.896,68.003,2451.311,2640.207,2519.313,34.069,16.722,46.51,0.0,0.369,2.297,2.331,0.0,0.0,0.034,97.301,2.699,0.117,0.057,0.16,0.0,0.004,0.022,0.022,0.0,0.0,0.0,0.334,0.026,0.598,5.106,2.009,23.077,4.889,19.635,,0.0,1.99,47.818,-4.602,-7.753,1.575,0.4,-4.491,-7.669,,0.0,,0.0,3.671,0.084,-3.706,-7.269,1291.627,1763.307,633.955,0.0,3688.888,241.866,38.826,245.437,0.0,0.0,3.571,284.263
Africa,1993,0.0,157.452,20.153,160.067,0.0,0.006,2.61,180.22,64.879,2465.769,2645.989,2530.648,34.442,16.306,46.688,0.0,0.287,2.24,2.277,0.0,0.0,0.037,97.436,2.564,0.119,0.056,0.161,0.0,0.003,0.021,0.022,0.0,0.0,0.0,0.335,0.025,1.551,13.314,0.834,9.77,-2.048,-8.626,,0.0,0.59,14.459,-2.036,-3.272,-21.888,-5.647,-1.857,-3.029,,0.0,,0.006,10.003,0.237,-4.593,-8.676,1278.274,1732.75,605.166,0.0,3616.19,230.912,29.555,234.748,0.0,0.008,3.828,264.303
Africa,1994,0.0,159.989,26.936,162.329,0.0,0.015,2.325,189.265,68.135,2547.541,2736.806,2615.676,34.185,16.509,46.701,0.0,0.371,2.202,2.234,0.0,0.0,0.032,97.395,2.605,0.118,0.057,0.161,0.0,0.004,0.021,0.021,0.0,0.0,0.0,0.335,0.025,2.588,22.554,3.388,40.034,4.649,19.184,,0.0,3.316,81.771,1.612,2.538,33.66,6.783,1.413,2.262,,0.0,170.0,0.009,-10.929,-0.285,5.019,9.045,1278.398,1746.445,617.387,0.0,3642.229,228.737,38.511,232.083,0.0,0.021,3.324,270.593
Africa,1995,0.0,166.025,31.392,168.878,0.0,0.018,2.835,200.269,72.097,2648.019,2848.289,2720.116,33.888,16.957,46.504,0.0,0.415,2.197,2.235,0.0,0.0,0.038,97.349,2.651,0.117,0.058,0.16,0.0,0.004,0.021,0.021,0.0,0.0,0.0,0.335,0.025,3.09,27.634,3.555,43.429,6.812,29.416,,0.0,3.944,100.479,3.773,6.036,16.541,4.456,4.034,6.548,,0.0,16.667,0.003,21.947,0.51,5.814,11.004,1285.155,1763.592,643.055,0.0,3691.802,231.468,43.766,235.445,0.0,0.024,3.953,279.21
Africa,1996,0.0,173.101,32.708,176.621,0.0,0.02,3.5,209.33,75.359,2715.229,2924.559,2790.588,33.489,17.351,46.459,0.0,0.422,2.233,2.279,0.0,0.0,0.045,97.3,2.7,0.115,0.06,0.16,0.0,0.004,0.021,0.022,0.0,0.0,0.0,0.334,0.026,1.383,12.749,2.491,31.512,4.975,22.948,,0.0,2.538,67.21,4.262,7.077,4.194,1.317,4.585,7.744,,0.0,12.698,0.002,23.454,0.665,4.524,9.06,1270.876,1763.058,658.441,0.0,3692.375,235.396,44.479,240.183,0.0,0.027,4.76,284.663
Africa,1997,0.0,177.368,35.131,181.246,0.0,0.02,3.857,216.376,77.895,2764.456,2980.832,2842.351,33.716,16.693,46.851,0.0,0.445,2.246,2.296,0.0,0.0,0.049,97.259,2.741,0.116,0.057,0.161,0.0,0.004,0.021,0.022,0.0,0.0,0.0,0.334,0.026,2.543,23.77,2.713,35.174,-2.007,-9.716,,0.0,1.813,49.227,2.465,4.267,7.406,2.422,2.618,4.624,,0.0,1.408,0.0,10.201,0.357,3.366,7.046,1271.427,1766.739,629.497,0.0,3667.664,235.318,46.609,240.462,0.0,0.027,5.118,287.071
Africa,1998,0.0,185.153,37.781,189.936,0.0,0.021,4.763,227.717,81.978,2799.416,3027.133,2881.394,32.495,17.33,47.33,0.0,0.472,2.313,2.373,0.0,0.0,0.06,97.155,2.845,0.111,0.059,0.162,0.0,0.004,0.022,0.023,0.0,0.0,0.001,0.333,0.027,-2.297,-22.014,2.411,32.112,5.24,24.861,,0.0,1.265,34.96,4.389,7.784,7.543,2.65,4.795,8.691,,0.0,5.556,0.001,23.47,0.905,5.241,11.341,1212.148,1765.542,646.444,0.0,3624.134,239.699,48.911,245.892,0.0,0.027,6.166,294.803
Africa,1999,0.0,196.345,35.658,201.112,0.0,0.055,4.711,236.77,85.237,2883.659,3120.429,2968.896,32.52,16.977,47.632,0.0,0.432,2.381,2.439,0.0,0.001,0.057,97.129,2.871,0.111,0.058,0.163,0.0,0.004,0.023,0.023,0.0,0.0,0.001,0.333,0.027,3.116,29.173,3.695,50.387,0.938,4.683,,0.0,3.009,84.243,6.045,11.193,-5.617,-2.122,5.884,11.175,,0.0,160.526,0.034,-1.075,-0.051,3.976,9.053,1219.806,1786.671,636.788,0.0,3643.264,248.066,45.051,254.088,0.0,0.069,5.953,299.139
Africa,2000,0.0,209.016,36.139,215.84,0.033,0.488,6.303,251.979,90.712,2941.614,3193.593,3032.326,31.767,18.363,46.879,0.0,0.429,2.481,2.562,0.0,0.006,0.075,97.008,2.992,0.109,0.063,0.16,0.0,0.004,0.024,0.024,0.0,0.0,0.001,0.332,0.028,-0.229,-2.207,0.52,7.359,10.476,52.803,,0.0,2.01,57.955,6.453,12.671,1.348,0.481,7.323,14.728,,0.033,786.364,0.433,33.779,1.591,6.423,15.209,1187.785,1752.829,686.601,0.0,3627.215,257.732,44.562,266.146,0.041,0.601,7.772,310.707
Africa,2001,0.0,223.164,29.582,230.797,0.041,1.147,6.445,260.379,94.349,3045.207,3305.586,3139.556,31.074,20.214,45.707,0.0,0.341,2.576,2.664,0.0,0.013,0.074,96.995,3.005,0.106,0.069,0.156,0.0,0.003,0.024,0.025,0.0,0.0,0.001,0.332,0.028,1.278,12.314,0.947,13.465,13.975,77.814,,0.0,3.522,103.593,6.769,14.148,-18.145,-6.557,6.93,14.957,24.469,0.008,135.26,0.659,2.253,0.142,3.334,8.4,1174.131,1727.016,763.792,0.0,3664.939,268.58,35.602,277.767,0.05,1.38,7.757,313.369
Africa,2002,0.491,233.562,32.879,241.588,0.049,1.216,6.269,274.466,100.411,3071.925,3346.391,3172.336,29.445,21.139,46.25,0.015,0.378,2.685,2.787,0.001,0.014,0.072,96.835,3.165,0.1,0.072,0.158,0.0,0.004,0.025,0.026,0.0,0.0,0.001,0.33,0.03,-4.252,-41.487,2.246,32.235,5.668,35.969,,0.491,0.877,26.718,4.659,10.398,11.145,3.297,4.675,10.79,18.687,0.008,6.05,0.069,-2.728,-0.176,5.41,14.087,1097.267,1723.505,787.745,0.577,3608.517,274.36,38.622,283.787,0.058,1.429,7.364,322.409
Africa,2003,0.541,225.775,34.499,234.978,0.058,1.459,7.144,269.476,99.256,3235.96,3505.436,3335.216,30.484,21.333,45.207,0.016,0.38,2.485,2.596,0.001,0.016,0.079,97.024,2.976,0.104,0.073,0.155,0.0,0.004,0.023,0.024,0.0,0.0,0.001,0.332,0.028,8.844,82.612,2.762,40.522,6.099,40.901,10.272,0.05,5.34,164.035,-3.334,-7.787,4.927,1.62,-2.736,-6.61,18.585,0.009,19.97,0.243,13.96,0.875,-1.818,-4.99,1165.624,1728.566,815.716,0.621,3709.906,258.842,39.551,269.393,0.067,1.673,8.191,308.945
Africa,2004,0.637,236.607,36.18,247.457,0.07,2.08,8.064,283.637,105.18,3458.685,3742.322,3563.866,31.379,21.972,43.698,0.018,0.375,2.453,2.576,0.001,0.022,0.084,97.049,2.951,0.108,0.075,0.15,0.0,0.003,0.023,0.024,0.0,0.0,0.001,0.333,0.027,9.991,101.577,3.289,49.587,10.058,71.562,17.63,0.095,6.883,222.726,4.798,10.832,4.872,1.681,5.311,12.479,20.01,0.012,42.53,0.621,12.869,0.919,5.255,14.16,1251.105,1742.281,876.07,0.712,3869.456,264.708,40.476,276.847,0.078,2.327,9.021,317.323
Africa,2005,0.243,239.576,30.376,250.096,0.083,2.099,8.096,280.472,104.422,3496.219,3776.691,3600.641,28.829,22.434,45.836,0.007,0.314,2.474,2.586,0.001,0.022,0.084,97.1,2.9,0.099,0.077,0.157,0.0,0.003,0.023,0.024,0.0,0.0,0.001,0.333,0.027,-7.177,-80.259,5.977,93.079,3.156,24.713,-61.856,-0.394,1.085,37.534,1.255,2.968,-16.041,-5.804,1.066,2.639,18.326,0.013,0.932,0.019,0.395,0.032,-1.116,-3.165,1133.032,1801.448,881.71,0.265,3816.19,261.502,33.156,272.984,0.09,2.291,8.837,306.14
Africa,2006,0.072,246.565,26.799,259.099,0.104,2.279,10.078,285.898,107.005,3555.177,3841.075,3662.181,28.747,23.045,45.287,0.002,0.274,2.519,2.648,0.001,0.023,0.103,97.078,2.922,0.099,0.079,0.155,0.0,0.003,0.023,0.024,0.0,0.0,0.001,0.333,0.027,1.419,14.735,0.489,8.07,4.476,36.153,-70.233,-0.171,1.686,58.958,2.917,6.99,-11.775,-3.577,3.6,9.003,26.196,0.022,8.563,0.18,24.488,1.982,1.935,5.426,1120.907,1765.819,898.559,0.077,3785.284,262.524,28.534,275.869,0.111,2.426,10.73,304.402
Africa,2007,0.784,253.249,30.061,265.215,0.137,2.699,8.346,295.275,111.651,3688.106,3983.381,3799.757,28.165,23.699,45.198,0.021,0.298,2.509,2.641,0.001,0.027,0.083,97.062,2.938,0.097,0.081,0.155,0.0,0.003,0.023,0.024,0.0,0.0,0.001,0.333,0.027,1.654,17.418,3.553,58.926,6.705,56.585,984.005,0.711,3.739,132.929,2.711,6.683,12.171,3.262,2.36,6.116,31.456,0.033,18.451,0.42,-17.186,-1.732,3.28,9.378,1111.278,1783.345,935.099,0.814,3829.722,262.973,31.215,275.398,0.142,2.803,8.667,306.613
Africa,2008,0.588,256.471,34.327,269.34,0.193,3.463,8.625,303.667,115.401,3920.944,4224.612,4036.346,29.222,23.181,44.738,0.015,0.322,2.407,2.537,0.002,0.032,0.081,97.141,2.859,0.101,0.08,0.154,0.0,0.003,0.022,0.023,0.0,0.0,0.001,0.334,0.026,10.213,109.3,5.147,88.399,3.902,35.139,-25.005,-0.196,6.313,232.839,1.272,3.223,14.193,4.267,1.556,4.125,41.224,0.056,28.282,0.763,3.343,0.279,2.842,8.392,1194.266,1828.429,947.385,0.595,3970.08,259.685,34.758,272.715,0.196,3.506,8.733,307.473
Africa,2009,0.333,261.719,33.596,275.82,0.252,4.169,9.347,309.416,118.148,3991.859,4301.276,4110.007,28.575,22.904,45.646,0.008,0.312,2.427,2.563,0.002,0.039,0.087,97.125,2.875,0.098,0.079,0.157,0.0,0.003,0.022,0.023,0.0,0.0,0.001,0.334,0.026,-0.429,-5.056,3.891,70.26,0.61,5.711,-43.377,-0.255,1.809,70.915,2.046,5.248,-2.13,-0.731,2.406,6.48,30.488,0.059,20.403,0.707,8.366,0.722,1.893,5.749,1159.305,1851.9,929.248,0.329,3940.453,258.349,33.163,272.268,0.249,4.116,9.226,305.432
Africa,2010,0.196,280.101,35.27,296.782,0.554,5.957,9.974,332.052,127.472,4110.328,4442.379,4237.8,27.443,23.155,46.394,0.005,0.319,2.535,2.689,0.005,0.054,0.09,96.992,3.008,0.094,0.08,0.159,0.0,0.003,0.023,0.024,0.0,0.0,0.001,0.333,0.027,-0.974,-11.435,4.798,90.016,4.237,39.888,-41.128,-0.137,2.968,118.468,7.023,18.382,4.982,1.674,7.6,20.962,119.668,0.302,42.872,1.787,6.714,0.628,7.316,22.635,1119.011,1891.723,944.15,0.189,3954.885,269.508,33.936,285.558,0.533,5.731,9.597,319.494
